,dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,0.0,5.0,1.0,40.0,0.0760275280235167,0.3448122733462674,4.0,0.2685546875,0.78125
1,0.0,6.0,1.0,40.0,0.010032436333987817,0.7883748458204589,4.0,0.23675537109375,0.78125
2,0.0,7.0,1.0,24.0,0.20290694426658712,0.24677060168760948,4.0,0.22161865234375,0.78125
3,0.0,8.0,1.0,24.0,0.14832256496259158,0.3165241005378851,4.0,0.3238525390625,0.78125
4,0.0,11.0,1.0,16.0,0.2411112724399453,0.6440034939434797,4.0,0.2406005859375,0.625
5,0.0,12.0,1.0,16.0,0.223238799526661,0.4347317773132375,4.0,0.25030517578125,0.78125
6,0.0,13.0,1.0,10.0,0.30060313775507874,0.21296154295841654,4.0,0.2313232421875,0.90625
7,0.0,14.0,1.0,10.0,0.14963591672195586,0.3449022170855981,4.0,0.33929443359375,0.75
8,0.0,15.0,1.0,5.0,0.5837128379482074,0.6660784697788261,4.0,0.2193603515625,0.90625
9,0.0,16.0,1.0,14.0,0.3483971550501037,0.1732664824246202,4.0,0.92437744140625,0.78125
10,0.0,17.0,1.0,14.0,0.17640675201153963,0.3175646789814682,4.0,0.3780517578125,0.78125
11,0.0,18.0,1.0,15.0,0.34308773901498457,0.2120592461614821,4.0,0.20745849609375,0.875
12,0.0,19.0,1.0,15.0,0.12245217744597864,0.37837088794606444,4.0,0.2918701171875,0.84375
