circuit_id,layer,entcap,expr
1.0,1.0,2.559790417212676e-32,0.30199358299924606
1.0,2.0,8.218045104505081e-32,0.2575700803769538
1.0,3.0,1.465415449038125e-31,0.25602510631251413
1.0,4.0,2.107447108398104e-31,0.24156339578939734
1.0,5.0,2.773474087130904e-31,0.2454600737263038
1.0,6.0,3.431394154149965e-31,0.25778460969245853
1.0,7.0,4.086082144140874e-31,0.24049859837965987
1.0,8.0,4.729548115100835e-31,0.28315198277756065
1.0,9.0,5.407428826757542e-31,0.2571255199032127
1.0,10.0,6.0710445809621415e-31,0.23346222405785483
1.0,11.0,6.721478254443341e-31,0.253119891546017
1.0,12.0,7.373060195069601e-31,0.27627432860163026
1.0,13.0,8.062289721781452e-31,0.2549508549174471
1.0,14.0,8.684077144407929e-31,0.23484243981573616
1.0,15.0,9.327493521618332e-31,0.2446982520711503
1.0,16.0,1.0022577868555651e-30,0.23783192597707153
2.0,1.0,0.7181203019216211,0.31988290662537866
2.0,2.0,0.7856578359271417,0.05350030124455173
2.0,3.0,0.8809602454890683,0.013642156112862541
2.0,4.0,0.9081370376580409,0.006426685214796976
2.0,5.0,0.9318560772178088,0.004324933761412933
2.0,6.0,0.94204741824774,0.004365824767654236
2.0,7.0,0.9479048109545809,0.005276355613188392
2.0,8.0,0.9508509072920197,0.004945623472112226
2.0,9.0,0.9521309500818935,0.004244263264115177
2.0,10.0,0.9528055158244767,0.00486388855940066
2.0,11.0,0.9533451345593056,0.004220110898023827
2.0,12.0,0.9535133373560387,0.004231513024941047
2.0,13.0,0.9541322157041986,0.0053939914108733925
2.0,14.0,0.9535535312258421,0.0036364315853744493
2.0,15.0,0.9539079975911687,0.005276641223343855
2.0,16.0,0.954029956821521,0.004350068450685726
3.0,1.0,0.18440609260648322,0.28949495768908406
3.0,2.0,0.3618821540982534,0.14285297324645532
3.0,3.0,0.48254513574331726,0.0995238379790858
3.0,4.0,0.5584555800543988,0.05495215722529169
3.0,5.0,0.6212286137677845,0.04259994193886662
3.0,6.0,0.662652472932695,0.028991438995826402
3.0,7.0,0.6984642050674524,0.02369059460868546
3.0,8.0,0.7293961101980042,0.02065062644442448
3.0,9.0,0.7552766022873394,0.01575899602450669
3.0,10.0,0.7761038215577692,0.015414120941705984
3.0,11.0,0.7936077235876877,0.01222853633417212
3.0,12.0,0.8100942366058795,0.0120126133142254
3.0,13.0,0.8253230753099634,0.007096298147344542
3.0,14.0,0.8380536454870097,0.007505005936980678
3.0,15.0,0.8499834952079833,0.006419081769522445
3.0,16.0,0.8589988675183691,0.006677913037794516
4.0,1.0,0.35646400639084513,0.19484689262183225
4.0,2.0,0.5246150560649355,0.06170395629018785
4.0,3.0,0.6223714582553931,0.04267281623670087
4.0,4.0,0.6922485275012353,0.02265616100022701
4.0,5.0,0.7425635661447565,0.0121146814979298
4.0,6.0,0.7780688585023906,0.01012026562809979
4.0,7.0,0.8097342490701519,0.007102979858867124
4.0,8.0,0.8335451820631247,0.006621348527062854
4.0,9.0,0.8531626468372608,0.00460725229215558
4.0,10.0,0.8694762942626061,0.004941983036568379
4.0,11.0,0.8827507764396312,0.005250768368578384
4.0,12.0,0.8938548029033567,0.005711797830990846
4.0,13.0,0.9042958924469352,0.004188349506460113
4.0,14.0,0.9115530551741805,0.003426633719851272
4.0,15.0,0.917920256529031,0.003933871417183092
4.0,16.0,0.9247307528444455,0.0048868067362554035
5.0,1.0,0.3827063728960026,0.07831570556077314
5.0,2.0,0.7080807846672533,0.011227417026200608
5.0,3.0,0.8514343869654635,0.004330580978398436
5.0,4.0,0.9098165663411364,0.005149464441850946
5.0,5.0,0.9359330705652825,0.005195932471512871
5.0,6.0,0.9460834139908656,0.004579424284472889
5.0,7.0,0.9505858275634128,0.005664287902582235
5.0,8.0,0.9521159425081441,0.004819580971198698
5.0,9.0,0.9531549369298561,0.004273383177593993
5.0,10.0,0.9537002510354056,0.003978941333223428
5.0,11.0,0.9538426803795549,0.004427459167557804
5.0,12.0,0.9540344247715531,0.003604252213588575
5.0,13.0,0.953734597925221,0.0034557015012218546
5.0,14.0,0.953614629105644,0.006016907642888611
5.0,15.0,0.9539778412580957,0.004492344028954321
5.0,16.0,0.9540044393454542,0.0036628072309038895
6.0,1.0,0.8602734951393232,0.0044685350459446535
6.0,2.0,0.946280987167829,0.005309189202245252
6.0,3.0,0.9531274507615692,0.0052305009353670814
6.0,4.0,0.9539272464136912,0.005019922374674155
6.0,5.0,0.9542862208701706,0.004018512337155295
6.0,6.0,0.9537304308865489,0.004968477667295143
6.0,7.0,0.9542150729578257,0.0034315287062333688
6.0,8.0,0.9541623357443934,0.004424970032934086
6.0,9.0,0.9535094884108138,0.0046890158967268555
6.0,10.0,0.9537994933521251,0.004217207569923329
6.0,11.0,0.9537133464092831,0.003985939670312412
6.0,12.0,0.9535554527028581,0.006258771418508005
6.0,13.0,0.9538856727177332,0.004922160640374729
6.0,14.0,0.953725379209368,0.005631520474062438
6.0,15.0,0.9539883442327579,0.005063860232106628
6.0,16.0,0.9539942444026906,0.005385420323217068
7.0,1.0,0.23958615725122,0.16574520977143137
7.0,2.0,0.4412303709815166,0.0823237157878736
7.0,3.0,0.5597928236130976,0.05716637020384424
