,circuit_id,layer,expr,entcap
0,1.0,1.0,0.3119157420180367,2.515335160414192e-32
1,1.0,2.0,0.23475643605288382,8.373355738259044e-32
2,1.0,3.0,0.26368154692340073,1.471361766516771e-31
3,1.0,4.0,0.2386519766462537,2.0818854531798986e-31
4,1.0,5.0,0.25284598017688253,2.7781567887184686e-31
5,1.0,6.0,0.3752330347338096,3.4362797703037497e-31
6,2.0,1.0,0.3408716026765828,0.7207318346329401
7,1.0,7.0,0.25357730841620396,4.105621589041143e-31
8,2.0,2.0,0.050526074043501665,0.7851758503154103
9,1.0,8.0,0.39891698524099484,4.702565642726809e-31
10,1.0,9.0,0.20127974353345182,5.414995996718437e-31
11,2.0,3.0,0.011746583183039182,0.879400614037813
12,1.0,10.0,0.2313934001612319,6.035295044429336e-31
13,2.0,4.0,0.002931113833689274,0.9055197736707178
14,1.0,11.0,0.3066775710334702,6.743961794040056e-31
15,1.0,12.0,0.22143210830712345,7.408397020633263e-31
16,2.0,5.0,0.004041286655504176,0.9314697927889809
17,1.0,13.0,0.28737314284973625,8.06602311696475e-31
18,2.0,6.0,0.0036625849360836164,0.940805039889752
19,1.0,14.0,0.22697330665042853,8.760719001948769e-31
20,1.0,15.0,0.2792379254396683,9.366053599204464e-31
21,2.0,7.0,0.004260752638914065,0.947534978638573
22,3.0,1.0,0.29836959032920446,0.18557521679573524
23,1.0,16.0,0.18422061154671726,9.948640444704043e-31
24,2.0,8.0,0.003644208023696494,0.9508849230750442
25,3.0,2.0,0.1525780516559913,0.3646345807477991
26,2.0,9.0,0.005454810072618131,0.9524819698782999
27,3.0,3.0,0.13372985054008102,0.489313544358149
28,2.0,10.0,0.002194922916559574,0.9520658087355132
29,3.0,4.0,0.06942775377441517,0.5629112865939847
30,2.0,11.0,0.006139733697843121,0.9530401331379514
31,3.0,5.0,0.03653332674882473,0.6216478633909744
32,2.0,12.0,0.0021391258509503774,0.953196229774433
33,3.0,6.0,0.044000682987417,0.6574275421932151
34,2.0,13.0,0.0029913972370717865,0.9545751441367423
35,3.0,7.0,0.020467877038686726,0.7010068615976077
36,4.0,1.0,0.14924557847286826,0.3629142725157575
37,3.0,8.0,0.00946990743372051,0.7246337513993552
38,2.0,14.0,0.002283279429088225,0.9539368484013538
39,4.0,2.0,0.08019591252302208,0.526586972999719
40,2.0,15.0,0.003588434266784433,0.9537623396297784
41,3.0,9.0,0.007550202625349961,0.7512510616095555
42,4.0,3.0,0.0446276681298744,0.6250660651506376
43,4.0,4.0,0.008969874042737308,0.6962468916813628
44,2.0,16.0,0.003381270466772484,0.9545793631228162
45,3.0,10.0,0.011555502652630209,0.7733500891199157
46,4.0,5.0,0.00886719914728536,0.7400048348151641
47,3.0,11.0,0.020399287540388455,0.7945720942371142
48,4.0,6.0,0.005575416510068213,0.7799483006861873
49,3.0,12.0,0.01143638060918564,0.8125890718096244
50,4.0,7.0,0.005184637967370633,0.8095061156899017
51,4.0,8.0,0.006452526268653471,0.8316604940870933
52,3.0,13.0,0.004706326157273485,0.8278502851835925
53,5.0,1.0,0.07695175582340658,0.3905045827299267
54,4.0,9.0,0.005975504660031819,0.852390044068999
55,5.0,2.0,0.0162665267892523,0.7060060720189811
56,3.0,14.0,0.001543310196382145,0.8393683906641998
57,4.0,10.0,0.0021740198482859494,0.8711922573700991
58,5.0,3.0,0.00450744340660162,0.8497703689656452
59,4.0,11.0,0.003608731106158022,0.8823707840026774
60,3.0,15.0,0.004759971589457981,0.8494699222951886
61,5.0,4.0,0.005082985997907227,0.9090668606891309
62,3.0,16.0,0.006330093839698156,0.8587801089215497
63,4.0,12.0,0.0081630044966443,0.893416207821359
64,5.0,5.0,0.0032519521235965187,0.9360939436655684
65,5.0,6.0,0.003406566663736162,0.9471697548215862
66,4.0,13.0,0.006384588823506614,0.9034757836503724
67,4.0,14.0,0.0032676631658566232,0.9114798508603905
68,6.0,1.0,0.007021906691128078,0.8641833274170784
69,5.0,7.0,0.008284502189612838,0.9504176097319568
70,6.0,2.0,0.008870979259387568,0.9468587387755137
71,5.0,8.0,0.0012281702395408314,0.9529801468889093
72,6.0,3.0,0.005253813772986232,0.9534070048736434
73,4.0,15.0,0.004955593673376958,0.9180254715773907
74,5.0,9.0,0.0037975660419028805,0.9530274530873232
75,4.0,16.0,0.0027581144149560546,0.9242970190425454
76,5.0,10.0,0.0030068226571596736,0.9531311494190498
77,6.0,4.0,0.004488224578681978,0.9541237544755746
78,6.0,5.0,0.005911020328762326,0.9545059442123173
79,5.0,11.0,0.004822260647537577,0.9540063103182288
80,5.0,12.0,0.0055335928432747785,0.9536930455045043
81,6.0,6.0,0.007185624524742567,0.9536757398806867
82,5.0,13.0,0.002974029660426666,0.953671156372592
83,6.0,7.0,0.0026467649686966774,0.9542172809251761
84,7.0,1.0,0.1817267617818309,0.23659162551410048
85,7.0,2.0,0.06666224683272629,0.4448185773009971
86,5.0,14.0,0.00778409773129583,0.9530084819388053
87,6.0,8.0,0.00425445051929962,0.9549287201133163
88,7.0,3.0,0.06337838280807594,0.5650909723189463
89,5.0,15.0,0.006105877900664338,0.9539079854639833
90,6.0,9.0,0.009722613941703123,0.9534421789169071
91,7.0,4.0,0.026362591049413898,0.636494267259259
92,5.0,16.0,0.0038035321748476634,0.9542294860713773
93,7.0,5.0,0.02449854080633826,0.6884248774609736
94,6.0,10.0,0.005135164319498625,0.9537433003435715
95,6.0,11.0,0.0029719211009631807,0.953426008395194
96,7.0,6.0,0.023664943401818694,0.7373085351929853
97,7.0,7.0,0.03037177811963928,0.7630915235455847
