dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,5,7,378,0.0031575762045674078,0.9502488523593288,84,0.004878997802734375,0.375
0,5,8,432,0.004976479982266918,0.9515596546450383,72,0.01458740234375,0.34375
0,6,1,54,0.0055542752579866,0.8648726144557255,65,0.0070037841796875,0.34375
0,6,2,108,0.005222156918522447,0.9461377590061979,79,0.01090240478515625,0.328125
0,6,3,162,0.007602796625925173,0.9533517769583292,53,0.00814056396484375,0.34375
0,6,4,216,0.003938141498506553,0.9545420971426538,59,0.013851165771484375,0.3125
0,6,5,270,0.004802073390871807,0.9543733066938601,73,0.006931304931640625,0.34375
0,6,6,324,0.0024047295297257706,0.954017347529434,104,0.014713287353515625,0.34375
0,6,7,378,0.005985754711106893,0.953968844576093,113,0.00786590576171875,0.34375
0,6,8,432,0.0017326385783578216,0.9541619465130162,90,0.0118408203125,0.34375
0,7,1,29,0.12662568704720084,0.2500036517130482,61,0.007183074951171875,0.609375
0,7,2,58,0.10894329544674128,0.44628700315223824,89,0.00473785400390625,0.359375
0,7,3,87,0.031828351785834444,0.5560745838978126,82,0.00257110595703125,0.53125
0,7,4,116,0.0427082816264597,0.6342447518754922,55,0.005603790283203125,0.359375
0,7,5,145,0.028706982161645606,0.6866244270838116,73,0.003948211669921875,0.359375
0,7,6,174,0.014247474389054993,0.7348873990934895,48,0.012706756591796875,0.34375
0,7,7,203,0.01286808126983061,0.7645828323611841,68,0.0143280029296875,0.421875
0,7,8,232,0.014299886066735478,0.7867557313117117,89,0.009479522705078125,0.34375
0,8,1,29,0.11539371978401862,0.3215662150450968,107,0.00719451904296875,0.515625
0,8,2,58,0.06253914053846024,0.519215855288181,38,0.00862884521484375,0.34375
0,8,3,87,0.03501107632348584,0.6243170743119416,85,0.005157470703125,0.390625
0,8,4,116,0.029656240945529867,0.697275091839681,117,0.0062713623046875,0.34375
0,8,5,145,0.015436636224500111,0.7475741576582178,71,0.00641632080078125,0.34375
0,8,6,174,0.0027387349991493835,0.7878203705527532,96,0.008930206298828125,0.34375
0,8,7,203,0.0036780609076583976,0.8092571568077244,103,0.008693695068359375,0.34375
0,8,8,232,0.004686166317026437,0.8354294042347702,164,0.00506591796875,0.34375
0,9,1,6,0.624544353544856,0.9999999999999999,52,0.0113525390625,0.578125
0,9,2,12,0.14045003340025783,0.9999999999999997,107,0.00565338134765625,0.5
0,9,3,18,0.03418599347819206,0.9999999999999994,69,0.00710296630859375,0.609375
0,9,4,24,0.002401113861314327,0.9885284993096228,45,0.008609771728515625,0.40625
0,9,5,30,0.008841090483276307,0.9794514536087291,44,0.001697540283203125,0.359375
0,9,6,36,0.0029417469252093534,0.9263151640678875,51,0.0059051513671875,0.34375
0,9,7,42,0.003957823063310616,0.9356301671559654,51,0.00586700439453125,0.34375
0,9,8,48,0.0047407035341752585,0.9522836038631175,88,0.006885528564453125,0.34375
0,10,1,12,0.303979295722528,0.3864253734042379,196,0.0065765380859375,0.53125
0,10,2,18,0.16745022733972204,0.5754544821050381,56,0.0040283203125,0.65625
0,10,3,24,0.07973103785980513,0.6984419099669698,50,0.007568359375,0.328125
0,10,4,30,0.13545358333815477,0.7650666314425294,63,0.0074310302734375,0.421875
0,10,5,36,0.09845701967384257,0.8238919726862347,60,0.00481414794921875,0.40625
0,10,6,42,0.07370565105153803,0.8549811799018459,77,0.007221221923828125,0.34375
0,10,7,48,0.09451931493460022,0.8769323492107641,60,0.01122283935546875,0.34375
0,10,8,54,0.08420626614322799,0.8995942855612538,57,0.006252288818359375,0.34375
0,11,1,20,0.17765890694334674,0.6075157057373317,60,0.012310028076171875,0.546875
0,11,2,40,0.03805219023119545,0.8072338765684203,103,0.004547119140625,0.578125
0,11,3,60,0.007378145887356658,0.8812670008912685,112,0.00795745849609375,0.53125
0,11,4,80,0.005468183973742102,0.9152342920315215,60,0.01354217529296875,0.34375
0,11,5,100,0.002488757065396163,0.9351531987022665,54,0.007968902587890625,0.34375
0,11,6,120,0.006240319373027364,0.9450363217615317,76,0.0098876953125,0.34375
0,11,7,140,0.004364566350705418,0.9490798249710871,60,0.00492095947265625,0.34375
0,11,8,160,0.004432634844327064,0.9510993744576772,111,0.010211944580078125,0.34375
0,12,1,20,0.18761459436768593,0.4450201619186936,51,0.009502410888671875,0.578125
0,12,2,40,0.03517633627537913,0.6454449790756246,70,0.006832122802734375,0.609375
0,12,3,60,0.021568082417452675,0.7376425509859088,105,0.007843017578125,0.34375
0,12,4,80,0.013387395863777522,0.8000735004206512,97,0.008289337158203125,0.46875
0,12,5,100,0.0035909853393268215,0.8406146187041686,70,0.0066680908203125,0.34375
0,12,6,120,0.005398713042063791,0.8683294041754716,65,0.009857177734375,0.34375
0,12,7,140,0.010021051829936966,0.8913372141164394,52,0.010623931884765625,0.34375
0,12,8,160,0.0060730347382121855,0.9076897467688868,98,0.009471893310546875,0.359375
0,13,1,12,0.41810853385139285,0.21753550230629848,127,0.006542205810546875,0.484375
0,13,2,24,0.14339269841628888,0.40192586572972616,95,0.009899139404296875,0.46875
0,13,3,36,0.10285174836639266,0.5451846897477964,66,0.006626129150390625,0.34375
0,13,4,48,0.04259549271240963,0.6388700550880465,46,0.0076904296875,0.375
0,13,5,60,0.020359001879240966,0.7053806342014342,129,0.003772735595703125,0.421875
0,13,6,72,0.015730212058877056,0.7531455484348478,75,0.005199432373046875,0.34375
0,13,7,84,0.018402756434603717,0.7968766507977265,90,0.0055694580078125,0.453125
0,13,8,96,0.007844925962897159,0.8266143480235696,49,0.01091766357421875,0.34375
0,14,1,12,0.18261060751570235,0.33812777743415684,62,0.01081085205078125,0.609375
0,14,2,24,0.050805976942836464,0.557612495532587,58,0.0057373046875,0.5
0,14,3,36,0.03697166101002189,0.6807015172730735,82,0.005481719970703125,0.5
0,14,4,48,0.01410864934435139,0.7589440730923931,71,0.00572967529296875,0.328125
0,14,5,60,0.005567147022248683,0.8154269983908409,45,0.01059722900390625,0.4375
0,14,6,72,0.009483184551632292,0.8536397246738446,49,0.011714935302734375,0.46875
0,14,7,84,0.010557082846429162,0.8816763502558634,44,0.0092620849609375,0.34375
0,14,8,96,0.0075917157471879155,0.8999295817350873,81,0.003025054931640625,0.34375
0,15,1,6,0.6818065121800622,0.6770979897639653,50,0.008544921875,0.59375
0,15,2,12,0.24997151702148096,0.7460145571569972,86,0.0008392333984375,0.46875
0,15,3,18,0.0999357693326437,0.8727964203787263,89,-0.003055572509765625,0.453125
0,15,4,24,0.04391364465110907,0.8911290147607717,52,0.009616851806640625,0.5
0,15,5,30,0.056289968581682975,0.9233170728464472,76,0.00399017333984375,0.34375
0,15,6,36,0.07979002423919279,0.9275431725704515,80,0.007213592529296875,0.34375
0,15,7,42,0.05053610838803665,0.9341258955328102,70,0.004184722900390625,0.34375
0,15,8,48,0.047221560983490514,0.9377119997746819,79,0.01166534423828125,0.34375
0,16,1,17,0.20939920459533473,0.19020746307828082,56,0.0121002197265625,0.46875
0,16,2,34,0.17401225933650505,0.36068638247921914,77,0.009586334228515625,0.46875
0,16,3,51,0.07302880115405401,0.48830528848857024,70,-0.000331878662109375,0.34375
0,16,4,68,0.03269186650216637,0.5572441576158288,81,0.00096893310546875,0.359375
0,16,5,85,0.03383363103643808,0.6189879064704672,97,0.00453948974609375,0.359375
0,16,6,102,0.023581079975575767,0.6600959086377912,143,0.0012664794921875,0.40625
0,16,7,119,0.015141107673572374,0.6969243382865952,64,0.007480621337890625,0.34375
0,16,8,136,0.025246082400506364,0.7279306859947543,117,0.00797271728515625,0.34375
0,17,1,17,0.31282799090347,0.33025541538763137,87,0.007549285888671875,0.640625
0,17,2,34,0.08334803077949904,0.5137680555490357,67,0.002399444580078125,0.484375
0,17,3,51,0.039002356429342494,0.6204525944268416,47,0.00955963134765625,0.421875
0,17,4,68,0.04816142692358265,0.689531788486744,100,0.009258270263671875,0.4375
0,17,5,85,0.013141955146011635,0.7334144090496255,65,0.003772735595703125,0.328125
0,17,6,102,0.008806157897883358,0.7813958552175024,62,0.014190673828125,0.34375
0,17,7,119,0.012444516428368859,0.8099480430833101,53,0.008220672607421875,0.34375
0,17,8,136,0.006189694984080717,0.8379538258293259,72,0.008819580078125,0.34375
0,18,1,18,0.32796113806657273,0.2214412476160134,56,0.010448455810546875,0.609375
0,18,2,36,0.11444315959107457,0.42547631773824035,57,0.005290985107421875,0.3125
0,18,3,54,0.05331895964447236,0.560120238092433,70,0.00640869140625,0.421875
0,18,4,72,0.04050174637903034,0.6477787331857512,70,0.005954742431640625,0.578125
0,18,5,90,0.015905042257937024,0.7156211501767312,53,0.010265350341796875,0.328125
0,18,6,108,0.005821955378295397,0.7670551806910036,75,0.00864410400390625,0.34375
0,18,7,126,0.007821589184616312,0.8046168150811231,143,0.00536346435546875,0.34375
0,18,8,144,0.016044853526071597,0.838413144455462,81,0.0106353759765625,0.34375
0,19,1,18,0.13310492766789167,0.38446964448714194,93,0.0133819580078125,0.40625
0,19,2,36,0.0439194675171064,0.5937797517093353,74,0.003002166748046875,0.609375
0,19,3,54,0.023453176200772495,0.7236694110914741,102,0.0009765625,0.34375
0,19,4,72,0.009101152601554245,0.8056796742397373,96,0.003612518310546875,0.34375
0,19,5,90,0.004053674719410456,0.8574889290445011,71,0.01055145263671875,0.34375
0,19,6,108,0.0040903556393150214,0.888126946737325,62,0.009250640869140625,0.34375
0,19,7,126,0.0036435219710525667,0.9101651758503084,50,0.007572174072265625,0.375
0,19,8,144,0.007598570845843804,0.923818080528457,72,0.009189605712890625,0.34375
