dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,1,1,12,0.2794754513137767,2.5811553636200147e-32,77,0.00724029541015625,0.46875
0,1,1,12,0.3542974918816843,2.4913537135304755e-32,95,0.02457427978515625,0.59375
0,1,1,12,0.35493283370651324,2.535451049189863e-32,59,0.014972686767578125,0.515625
0,1,1,12,0.3540026718393695,2.540513690869715e-32,180,0.05559539794921875,0.640625
0,1,1,12,0.27385461642177733,2.555644538137396e-32,63,0.047565460205078125,0.625
0,1,1,12,0.36947119270259143,2.618462226632489e-32,124,0.0617523193359375,0.671875
0,1,1,12,0.3274590096513542,2.5553775847234413e-32,123,0.0168914794921875,0.484375
0,1,1,12,0.3008486308387295,2.558789942396322e-32,66,0.025569915771484375,0.71875
0,1,2,24,0.33342951389594044,8.163619439530255e-32,57,0.038356781005859375,0.640625
0,1,2,24,0.26959345029135817,8.218932793437485e-32,58,0.007232666015625,0.59375
0,1,2,24,0.2731897385217454,8.405724878506691e-32,60,0.01788330078125,0.421875
0,1,2,24,0.21362685350565225,8.272051536379668e-32,70,0.00299072265625,0.53125
0,1,2,24,0.26605758117097505,8.34247800068126e-32,48,0.01898956298828125,0.65625
0,1,2,24,0.25230806247391907,8.2544831169673e-32,61,0.01361846923828125,0.484375
0,1,2,24,0.2281680796567585,8.196423068994354e-32,55,0.009571075439453125,0.625
0,1,2,24,0.25561204243129165,8.406958842541318e-32,44,0.010379791259765625,0.640625
0,1,3,36,0.20950756125072725,1.4723434954459653e-31,126,0.037059783935546875,0.59375
0,1,3,36,0.22113456799192188,1.4767778429543423e-31,68,0.0043487548828125,0.5625
0,1,3,36,0.19522530952435044,1.4945928520575203e-31,74,0.01422119140625,0.359375
0,1,3,36,0.21544399087143537,1.440640731112003e-31,66,0.007999420166015625,0.625
0,1,3,36,0.2540623452305936,1.4645043663617512e-31,65,0.0161590576171875,0.625
0,1,3,36,0.25077072492290453,1.4933793782073151e-31,91,0.01557159423828125,0.484375
0,1,3,36,0.22405238791552,1.4672911107409714e-31,57,0.040325164794921875,0.6875
0,1,3,36,0.30237234736900775,1.4589260692873038e-31,85,0.006435394287109375,0.484375
0,1,4,48,0.2243658428404705,2.0961723084243317e-31,73,0.0532073974609375,0.546875
0,1,4,48,0.21528305360355107,2.119986486894276e-31,41,0.0103759765625,0.5625
0,1,4,48,0.22829319646914903,2.101434362222933e-31,49,0.0139312744140625,0.5
0,1,4,48,0.2465126973280962,2.1106437041889106e-31,41,0.044757843017578125,0.46875
0,1,4,48,0.21732582656425276,2.088070331038285e-31,45,0.013355255126953125,0.5625
0,1,4,48,0.3183571894619297,2.093629691141172e-31,54,0.0095062255859375,0.625
0,1,4,48,0.2521452013945971,2.1241475938725683e-31,48,0.010654449462890625,0.65625
0,1,4,48,0.2166739624374074,2.130187508089144e-31,50,0.00910186767578125,0.5625
0,1,5,60,0.20343028298674237,2.763125207968994e-31,42,0.0169219970703125,0.578125
0,1,5,60,0.27493400834039494,2.808413983368948e-31,88,0.00907135009765625,0.515625
0,1,5,60,0.2198302868943662,2.80658353374445e-31,41,0.014728546142578125,0.4375
0,1,5,60,0.2491458606851778,2.796037801707578e-31,50,0.008258819580078125,0.640625
0,1,5,60,0.22754082616502025,2.804152320520018e-31,57,0.012241363525390625,0.46875
0,1,5,60,0.34351188977965763,2.8263058603346266e-31,51,0.012416839599609375,0.4375
0,1,5,60,0.2543295973076867,2.7508490559928496e-31,80,0.012828826904296875,0.578125
0,1,5,60,0.1968215643610637,2.7636277309449765e-31,66,0.014923095703125,0.546875
0,1,6,72,0.19094067848160237,3.430440306078362e-31,65,0.01908111572265625,0.5625
0,1,6,72,0.19238551571097823,3.377547607009688e-31,50,0.08647918701171875,0.625
0,1,6,72,0.20667384926605112,3.4455998948014285e-31,69,0.013034820556640625,0.3125
0,1,6,72,0.20797950652644046,3.4644994390122286e-31,61,0.009830474853515625,0.515625
0,1,6,72,0.1952665560536264,3.438675090849468e-31,48,0.08354568481445312,0.5625
0,1,6,72,0.26378776143959043,3.4121537868028626e-31,71,0.012676239013671875,0.46875
0,1,6,72,0.2174588228906397,3.454644412780112e-31,98,0.003246307373046875,0.53125
0,1,6,72,0.2570445253610239,3.4603865726689157e-31,57,0.029026031494140625,0.640625
0,1,7,84,0.23194965811481233,4.095094351018566e-31,62,0.0118255615234375,0.328125
0,1,7,84,0.2795423951801689,4.076705648626299e-31,78,0.08720016479492188,0.53125
0,1,7,84,0.24100214903139605,4.1335960124341075e-31,59,0.052036285400390625,0.34375
0,1,7,84,0.22980618040528755,4.0971798763918e-31,44,0.013332366943359375,0.625
0,1,7,84,0.2503374463624133,4.12116106082942e-31,71,0.034030914306640625,0.625
0,1,7,84,0.20087404937589493,4.0454684519965344e-31,108,0.008457183837890625,0.46875
0,1,7,84,0.26174734014813184,4.047379620589445e-31,85,0.0067596435546875,0.46875
0,1,7,84,0.24198916521803387,4.0970505642087774e-31,77,0.01197052001953125,0.3125
0,1,8,96,0.2753917304592154,4.721442385596751e-31,78,0.012783050537109375,0.484375
0,1,8,96,0.29629763643410456,4.725684383543612e-31,112,0.030223846435546875,0.59375
0,1,8,96,0.2654660923466783,4.728729465482434e-31,82,0.009517669677734375,0.328125
0,1,8,96,0.3067833995420596,4.799468782519364e-31,40,0.026805877685546875,0.453125
0,1,8,96,0.29391947772415383,4.73594220920511e-31,46,0.010578155517578125,0.671875
0,1,8,96,0.29836782686515906,4.755311502949606e-31,73,0.01385498046875,0.53125
