,layer,expr,ent,acc
0,2.0,0.1070942623657527,0.34500364248943266,0.8125
1,2.0,0.161274604467338,0.35486615982051267,0.875
2,2.0,0.1410426303223499,0.3566051807338832,0.9375
3,2.0,0.13910251993633022,0.34445023434798594,0.9375
4,2.0,0.1070942623657527,0.34500364248943266,0.90625
5,2.0,0.161274604467338,0.35486615982051267,0.90625
6,2.0,0.1410426303223499,0.3566051807338832,1.0
7,2.0,0.13910251993633022,0.34445023434798594,0.875
8,3.0,0.06819226213511476,0.46537159731155614,0.96875
9,3.0,0.0940370413784203,0.4785370651790756,0.9375
10,3.0,0.07182750953666633,0.4653922126915595,0.96875
11,3.0,0.07915145176842778,0.4718872095478706,0.90625
12,3.0,0.06819226213511476,0.46537159731155614,1.0
13,3.0,0.0940370413784203,0.4785370651790756,0.90625
14,3.0,0.07182750953666633,0.4653922126915595,0.9375
15,3.0,0.07915145176842778,0.4718872095478706,0.9375
16,1.0,0.33595884550448063,0.18450923424986498,0.875
17,1.0,0.3003545820506305,0.17370581038849195,0.96875
18,1.0,0.25463735304637525,0.17946542473367527,1.0
19,1.0,0.31915693385952104,0.1839802382726523,1.0
20,2.0,0.1070942623657527,0.34500364248943266,0.875
21,2.0,0.161274604467338,0.35486615982051267,0.96875
22,2.0,0.1410426303223499,0.3566051807338832,0.96875
23,2.0,0.13910251993633022,0.34445023434798594,0.875
24,1.0,0.33595884550448063,0.18450923424986498,0.96875
25,1.0,0.3003545820506305,0.17370581038849195,0.9375
26,1.0,0.25463735304637525,0.17946542473367527,0.96875
27,1.0,0.31915693385952104,0.1839802382726523,0.9375
28,3.0,0.06819226213511476,0.46537159731155614,0.875
29,3.0,0.0940370413784203,0.4785370651790756,0.875
30,3.0,0.07182750953666633,0.4653922126915595,0.9375
31,3.0,0.07915145176842778,0.4718872095478706,0.96875
32,1.0,0.33595884550448063,0.18450923424986498,0.875
33,1.0,0.3003545820506305,0.17370581038849195,0.96875
34,1.0,0.25463735304637525,0.17946542473367527,0.9375
35,1.0,0.31915693385952104,0.1839802382726523,1.0
36,3.0,0.06819226213511476,0.46537159731155614,1.0
37,3.0,0.0940370413784203,0.4785370651790756,0.96875
38,3.0,0.07182750953666633,0.4653922126915595,0.96875
39,3.0,0.07915145176842778,0.4718872095478706,0.9375
40,4.0,0.046212631543902566,0.5425440937985275,0.90625
41,4.0,0.0349552278365476,0.5456695612222151,1.0
42,4.0,0.056440841998935246,0.5475593018174227,0.84375
43,4.0,0.05648810711835331,0.5419207087118297,0.90625
44,4.0,0.046212631543902566,0.5425440937985275,0.90625
45,4.0,0.0349552278365476,0.5456695612222151,0.9375
46,4.0,0.056440841998935246,0.5475593018174227,0.875
47,4.0,0.05648810711835331,0.5419207087118297,0.96875
48,4.0,0.046212631543902566,0.5425440937985275,0.875
49,4.0,0.0349552278365476,0.5456695612222151,0.9375
50,4.0,0.056440841998935246,0.5475593018174227,0.9375
51,4.0,0.05648810711835331,0.5419207087118297,0.6875
52,2.0,0.1070942623657527,0.34500364248943266,0.96875
53,2.0,0.161274604467338,0.35486615982051267,0.84375
54,2.0,0.1410426303223499,0.3566051807338832,0.90625
55,2.0,0.13910251993633022,0.34445023434798594,0.90625
56,4.0,0.046212631543902566,0.5425440937985275,0.96875
57,4.0,0.0349552278365476,0.5456695612222151,0.8125
58,4.0,0.056440841998935246,0.5475593018174227,0.84375
59,4.0,0.05648810711835331,0.5419207087118297,0.9375
60,1.0,0.33595884550448063,0.18450923424986498,0.9375
61,1.0,0.3003545820506305,0.17370581038849195,0.84375
62,1.0,0.25463735304637525,0.17946542473367527,0.90625
63,1.0,0.31915693385952104,0.1839802382726523,0.96875
64,5.0,0.041197435997720286,0.5995239188206636,0.875
65,5.0,0.037286402059187256,0.6041529146609278,0.90625
66,5.0,0.04676821608374908,0.5965458974973639,0.96875
67,5.0,0.03430659897131828,0.6027778758111945,0.96875
68,5.0,0.03731359283595387,0.5974664424272568,0.8125
69,5.0,0.02862998584938064,0.5975866583158292,0.9375
70,5.0,0.047526828168784285,0.6018870940176061,0.9375
71,5.0,0.02771259835162763,0.6017018867551457,0.78125
72,5.0,0.041197435997720286,0.5995239188206636,0.84375
73,5.0,0.037286402059187256,0.6041529146609278,1.0
74,5.0,0.04676821608374908,0.5965458974973639,0.96875
75,5.0,0.03430659897131828,0.6027778758111945,0.90625
76,5.0,0.03731359283595387,0.5974664424272568,0.96875
77,5.0,0.02862998584938064,0.5975866583158292,0.9375
78,5.0,0.047526828168784285,0.6018870940176061,0.8125
79,5.0,0.02771259835162763,0.6017018867551457,0.9375
80,7.0,0.021697283810724437,0.6814934432431766,0.9375
81,7.0,0.02191995102707256,0.6794389532290057,0.96875
82,7.0,0.017850499026285337,0.6714364086456043,0.875
83,7.0,0.0228010744461235,0.6733186804285253,0.96875
84,6.0,0.04308053691927355,0.6484226956186522,1.0
85,6.0,0.04354782765499264,0.6400457676069389,1.0
86,6.0,0.028085615380402384,0.6374376121500566,1.0
87,6.0,0.03966497490527291,0.6460441574689315,0.875
88,6.0,0.04308053691927355,0.6484226956186522,0.9375
89,6.0,0.04354782765499264,0.6400457676069389,0.90625
90,6.0,0.028085615380402384,0.6374376121500566,0.96875
91,6.0,0.03966497490527291,0.6460441574689315,0.9375
92,7.0,0.017012019328660824,0.6726074511729871,0.90625
93,7.0,0.031121775244064773,0.6742709616697545,0.9375
94,7.0,0.029731620223557145,0.6808477158873419,1.0
95,7.0,0.02542635060460348,0.6756920728450508,1.0
96,6.0,0.021139998098112796,0.638323153609092,0.90625
97,6.0,0.021142805290377258,0.6384207078839832,0.96875
98,6.0,0.025838105712351206,0.6442964463780946,0.9375
99,6.0,0.028345355862423066,0.6427726637595229,0.96875
100,6.0,0.02941302673308301,0.6400375273453738,1.0
101,6.0,0.02604658315885235,0.6482003887777352,0.90625
102,6.0,0.01887440225524859,0.6412245214528682,0.9375
103,6.0,0.028934362527813708,0.6376384369341335,1.0
104,7.0,0.011742751664386254,0.6843085895440565,1.0
105,7.0,0.020758717280360446,0.6802854969396951,0.9375
106,7.0,0.03351171013589567,0.6779426810249811,0.75
107,7.0,0.021127032584635552,0.6753632262280791,0.8125
108,8.0,0.030191377722249425,0.7058163336196258,0.84375
109,8.0,0.02264848974024431,0.7011999746803426,0.71875
110,8.0,0.011694837338671103,0.7040073564199584,0.9375
