[2021-10-31 00:56:20,132] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | NQSVM object: expr=0.259070635738248, entcap=2.7549381945880682e-31 (00:01:40) / Start Optimization...
[2021-10-31 00:56:31,295] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | NQSVM object: expr=0.27334327140530645, entcap=3.435637178891556e-31 (00:01:51) / Start Optimization...
[2021-10-31 00:56:33,030] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=5/0 | NQSVM object: expr=0.004903722106717806, entcap=0.9312128767379368 (00:01:53) / Start Optimization...
[2021-10-31 00:56:43,966] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=7/0 | NQSVM object: expr=0.3100062732754906, entcap=4.077500016724423e-31 (00:02:04) / Start Optimization...
[2021-10-31 00:56:48,154] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=6/0 | NQSVM object: expr=0.006305175874324302, entcap=0.9427409143570411 (00:02:08) / Start Optimization...
[2021-10-31 00:56:58,171] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | NQSVM object: expr=0.26133718980584486, entcap=4.748270036807372e-31 (00:02:18) / Start Optimization...
[2021-10-31 00:57:03,889] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=7/0 | NQSVM object: expr=0.00514850371167329, entcap=0.9472462463756283 (00:02:24) / Start Optimization...
[2021-10-31 00:57:23,667] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=8/0 | NQSVM object: expr=0.003412004166714243, entcap=0.9517818448106812 (00:02:44) / Start Optimization...
[2021-10-31 01:06:16,783] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Optimizing... 10/1024
[2021-10-31 01:06:17,273] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | Optimizing... 10/1024
[2021-10-31 01:06:24,801] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=2/0 | Optimizing... 10/1024
[2021-10-31 01:06:36,325] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=2/0 | Optimizing... 10/1024
[2021-10-31 01:06:39,367] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=3/0 | Optimizing... 10/1024
[2021-10-31 01:06:55,087] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=4/0 | Optimizing... 10/1024
[2021-10-31 01:07:01,987] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Optimizing... 10/1024
[2021-10-31 01:07:05,959] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=3/0 | Optimizing... 10/1024
[2021-10-31 01:07:15,080] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | Optimizing... 10/1024
[2021-10-31 01:07:29,356] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=7/0 | Optimizing... 10/1024
[2021-10-31 01:07:34,112] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=4/0 | Optimizing... 10/1024
[2021-10-31 01:07:48,622] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Optimizing... 10/1024
[2021-10-31 01:07:48,701] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=5/0 | Optimizing... 10/1024
[2021-10-31 01:08:25,269] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=6/0 | Optimizing... 10/1024
[2021-10-31 01:08:50,368] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=7/0 | Optimizing... 10/1024
[2021-10-31 01:09:12,199] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=8/0 | Optimizing... 10/1024
[2021-10-31 01:09:23,895] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Optimizing... 20/1024
[2021-10-31 01:09:25,877] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | Optimizing... 20/1024
[2021-10-31 01:09:33,809] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=2/0 | Optimizing... 20/1024
[2021-10-31 01:09:48,081] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=3/0 | Optimizing... 20/1024
[2021-10-31 01:09:51,100] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=2/0 | Optimizing... 20/1024
[2021-10-31 01:10:03,471] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=4/0 | Optimizing... 20/1024
[2021-10-31 01:10:10,747] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Optimizing... 20/1024
[2021-10-31 01:10:18,900] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=3/0 | Optimizing... 20/1024
[2021-10-31 01:10:23,748] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | Optimizing... 20/1024
[2021-10-31 01:10:38,488] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=7/0 | Optimizing... 20/1024
[2021-10-31 01:10:52,282] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=4/0 | Optimizing... 20/1024
[2021-10-31 01:10:59,027] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Optimizing... 20/1024
[2021-10-31 01:11:08,840] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=5/0 | Optimizing... 20/1024
[2021-10-31 01:11:47,158] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=6/0 | Optimizing... 20/1024
[2021-10-31 01:12:15,446] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=7/0 | Optimizing... 20/1024
[2021-10-31 01:12:31,900] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Optimizing... 30/1024
[2021-10-31 01:12:35,876] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | Optimizing... 30/1024
[2021-10-31 01:12:36,858] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=8/0 | Optimizing... 20/1024
[2021-10-31 01:12:41,608] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=2/0 | Optimizing... 30/1024
[2021-10-31 01:12:57,615] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=3/0 | Optimizing... 30/1024
[2021-10-31 01:13:01,417] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=2/0 | Optimizing... 30/1024
[2021-10-31 01:13:13,239] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=4/0 | Optimizing... 30/1024
[2021-10-31 01:13:17,283] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Optimizing... 30/1024
[2021-10-31 01:13:30,396] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=3/0 | Optimizing... 30/1024
[2021-10-31 01:13:32,756] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=6/0 | Optimizing... 30/1024
[2021-10-31 01:13:47,156] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=7/0 | Optimizing... 30/1024
[2021-10-31 01:14:09,119] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Optimizing... 30/1024
[2021-10-31 01:14:10,618] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=4/0 | Optimizing... 30/1024
[2021-10-31 01:14:26,537] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=5/0 | Optimizing... 30/1024
[2021-10-31 01:15:07,863] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=6/0 | Optimizing... 30/1024
[2021-10-31 01:15:40,908] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Optimizing... 40/1024
[2021-10-31 01:15:41,743] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=7/0 | Optimizing... 30/1024
[2021-10-31 01:15:43,284] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=1/0 | Optimizing... 40/1024
[2021-10-31 01:15:48,311] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=2/0 | Optimizer terminated 40/1024 (00:20:00)
[2021-10-31 01:15:48,312] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=2/0 | Process 139372 finished (00:21:08)
