,mean,mean,mean,mean,std,std,std,std
Size,4,8,16,32,4,8,16,32
Error,,,,,,,,
0.0001,-0.02465820312499995,-0.0238639322916666,-0.01647949218749995,-0.028121744791666674,0.030826529133001115,0.011829331534730007,0.029357570891499204,0.05894046687972439
0.0001359356390878,-0.013180338541666625,-0.04861816406249993,0.0007991536458333248,-0.009583333333333301,0.022048402746889715,0.06352922369857107,0.03401763517463108,0.04859249075652337
0.0001847849797422,-0.06657389322916665,-0.011118164062499998,-0.012706705729166625,-0.032146809895833274,0.1350057477080701,0.021757093248109687,0.01931006585484518,0.01871234748970905
0.0002511886431509,0.007939453124999999,-0.058779296874999956,-0.030030924479166624,-0.029283854166666602,0.02304574545794087,0.03109676537446259,0.024708620847044532,0.01519033077762799
0.0003414548873833,-0.0015641276041665998,-0.0326155598958333,-0.0354166666666666,0.013515624999999976,0.018130997582607538,0.007983429905557973,0.015534853708120668,0.03627888431260297
0.0004641588833612,-0.0013232421875,-0.007937825520833271,-0.010465494791666651,-0.04216471354166662,0.00647628940534312,0.009658916969720233,0.03288484454275717,0.028307583396115717
0.0006309573444801,-0.02727864583333325,-0.037386067708333276,-0.03617024739583327,-0.024166666666666628,0.009980974819787224,0.019378597969133732,0.02486516314493148,0.019508338703059024
0.0008576958985908,-0.0033398437499999748,-0.002081705729166675,-0.022732747395833298,-0.00482421874999995,0.012168511562895522,0.02057813627019111,0.041636091203771285,0.011790514970243084
0.0011659144011798,-0.00903808593749995,-0.012900390624999975,-0.0291650390625,-0.0022721354166666745,0.02975878646136694,0.030503125223439086,0.0580113117434147,0.01830522714004139
0.0015848931924611,0.0007373046874999999,-0.029249674479166675,0.006181640625,0.023234049479166675,0.013302200182775961,0.07737040858973455,0.03296991325791675,0.04117535118480486
0.0021544346900318,-0.012604166666666625,0.00026204427083335,0.0053401692708333025,0.08848795572916662,0.018560657086731786,0.02815185238304726,0.06322394899573751,0.05827926488424891
0.0029286445646252,-0.02152018229166665,0.002916666666666676,-0.006982421875,0.1479899088541666,0.05220076672589219,0.025226943587579216,0.038960766503820354,0.04063910254208409
0.0039810717055349,-0.012771809895833323,0.008212890625000024,0.08125651041666662,0.15244303385416663,0.022440228208888864,0.016625755537218127,0.036144253772298206,0.023245667592104516
0.0054116952654646,-0.022952473958333275,0.013185221354166676,0.09399251302083331,0.17790039062499996,0.01680370576344517,0.025577065657199444,0.02349326492784087,0.021278829528117785
0.0073564225445964,-0.010349934895833326,0.031852213541666625,0.11579264322916663,0.1494124348958333,0.048565418688291125,0.03483719051082531,0.01132042010158448,0.009551538438692319
0.01,0.012195638020833326,0.06999511718749996,0.10719075520833328,0.11268880208333328,0.02734425448805032,0.023416667279069662,0.006939828313323757,0.01115848318576574
