,Unnamed: 0,Size,Error,Amp,Bias
0,0,4,0.0001,0.4754910875080593,-0.0180859374999999
1,1,4,0.0001359356390878,0.4704701226496005,-0.0243098958333333
2,2,4,0.0001847849797422,0.4818386131678424,-0.2667838541666666
3,3,4,0.0002511886431509,0.4623251825233643,-0.0162239583333333
4,4,4,0.0003414548873833,0.4740573005432749,-0.0045898437499999
5,5,4,0.0004641588833612,0.451894924654742,-0.0021940104166666
6,6,4,0.0006309573444801,0.4301454019511356,-0.0283463541666666
7,7,4,0.0008576958985908,0.4131371764065029,-0.0190755208333333
8,8,4,0.0011659144011798,0.3797303331268494,-0.0509570312499999
9,9,4,0.0015848931924611,0.345575162374308,-0.0082942708333333
10,10,4,0.0021544346900318,0.2956183195877936,0.00427734375
11,11,4,0.0029286445646252,0.2633805167240081,0.0281119791666666
12,12,4,0.0039810717055349,0.2073346166279657,-0.0142057291666666
13,13,4,0.0054116952654646,0.1597259415540814,-0.0026432291666666
14,14,4,0.0073564225445964,0.1018839125833834,0.0022526041666666
15,15,4,0.01,0.0592902611261309,-0.0013346354166666
16,16,8,0.0001,0.4661632405561348,-0.0090885416666666
17,17,8,0.0001359356390878,0.4810841129368075,-0.0055859374999999
18,18,8,0.0001847849797422,0.4601156444231241,-0.0269791666666666
19,19,8,0.0002511886431509,0.4633202032646004,-0.0389388020833333
20,20,8,0.0003414548873833,0.4606239577007909,-0.0247591145833333
21,21,8,0.0004641588833612,0.4391015539913747,-3.906249999998529e-05
22,22,8,0.0006309573444801,0.399837346982867,-0.0449934895833333
23,23,8,0.0008576958985908,0.3815452153128248,-0.0209895833333333
24,24,8,0.0011659144011798,0.3490312467358101,0.0062239583333333
25,25,8,0.0015848931924611,0.3205371184178158,0.0262434895833333
26,26,8,0.0021544346900318,0.258187487205856,0.0382877604166666
27,27,8,0.0029286445646252,0.2004013592975753,-0.0230598958333333
28,28,8,0.0039810717055349,0.1499881660769214,0.0268359375
29,29,8,0.0054116952654646,0.1072641080912696,0.0201236979166666
30,30,8,0.0073564225445964,0.0438508510439358,0.0176171875
31,31,8,0.01,0.0137044204874382,0.09830078125
32,32,16,0.0001,0.4748888294751487,0.0267317708333333
33,33,16,0.0001359356390878,0.4698365059497001,0.0153190104166666
34,34,16,0.0001847849797422,0.4365276262124092,-0.0175130208333333
35,35,16,0.0002511886431509,0.4310403827286761,-0.0665104166666666
36,36,16,0.0003414548873833,0.402778078517522,-0.0398502604166666
37,37,16,0.0004641588833612,0.3931741016830108,0.0172395833333333
38,38,16,0.0006309573444801,0.3609789086126913,-0.0249153645833333
39,39,16,0.0008576958985908,0.3205524637462416,-0.0124609374999999
40,40,16,0.0011659144011798,0.2968121234023069,0.0120052083333333
41,41,16,0.0015848931924611,0.2209817047120678,-0.0042578125
42,42,16,0.0021544346900318,0.173836753703478,0.02017578125
43,43,16,0.0029286445646252,0.109684897167108,-0.0520833333333333
44,44,16,0.0039810717055349,0.0660942253240122,0.0665950520833333
45,45,16,0.0054116952654646,0.0453812541677338,0.0799088541666666
46,46,16,0.0073564225445964,0.0270705063221864,0.101796875
47,47,16,0.01,0.0149655138113136,0.1042122395833333
48,48,32,0.0001,0.4619122944661577,-0.0266145833333333
49,49,32,0.0001359356390878,0.443403900110706,-0.0516015624999999
50,50,32,0.0001847849797422,0.4156447887682808,-0.0336653645833333
51,51,32,0.0002511886431509,0.4126606740649743,-0.0269791666666666
52,52,32,0.0003414548873833,0.3654160311400217,0.04982421875
53,53,32,0.0004641588833612,0.3392147698491092,-0.0396158854166666
54,54,32,0.0006309573444801,0.29663981313297,-0.0106575520833333
55,55,32,0.0008576958985908,0.2431221394874488,-0.0149999999999999
56,56,32,0.0011659144011798,0.1859809082302094,-0.01240234375
57,57,32,0.0015848931924611,0.1342506275832251,0.0024544270833333
58,58,32,0.0021544346900318,0.0673523737867868,0.0220703125
59,59,32,0.0029286445646252,0.0258098880312386,0.1764713541666666
60,60,32,0.0039810717055349,0.0212117283727717,0.1708919270833333
61,61,32,0.0054116952654646,0.0090965599301527,0.1888151041666666
62,62,32,0.0073564225445964,0.0059016644149698,0.15541015625
63,63,32,0.01,0.0006383744771921,0.1064127604166666
64,64,4,0.0001,0.4972610568889468,-0.0631315104166666
65,65,4,0.0001359356390878,0.4742068377267541,0.01984375
66,66,4,0.0001847849797422,0.4721529686619151,0.0208528645833333
67,67,4,0.0002511886431509,0.4675799094964751,0.0021484375
68,68,4,0.0003414548873833,0.4716726918816982,-0.0222851562499999
69,69,4,0.0004641588833612,0.4454744625295336,0.0004166666666666
70,70,4,0.0006309573444801,0.4409058492705278,-0.0178710937499999
71,71,4,0.0008576958985908,0.4152070764046459,-0.00255859375
72,72,4,0.0011659144011798,0.3920277422545626,-0.0059374999999999
73,73,4,0.0015848931924611,0.3468854882168733,0.0054036458333333
74,74,4,0.0021544346900318,0.3109775576790514,-0.0058723958333333
75,75,4,0.0029286445646252,0.2496036869277909,-0.0102408854166666
76,76,4,0.0039810717055349,0.1959567095953799,0.001640625
77,77,4,0.0054116952654646,0.1425571979097878,-0.0394856770833333
78,78,4,0.0073564225445964,0.0897223336983433,0.0380013020833333
79,79,4,0.01,0.0402173026220948,0.0531575520833333
80,80,8,0.0001,0.4766827240720404,-0.0256640624999999
81,81,8,0.0001359356390878,0.4718356765291066,-0.0262174479166666
82,82,8,0.0001847849797422,0.4656141148775765,0.0083528645833333
83,83,8,0.0002511886431509,0.4657210317548548,-0.0618619791666666
84,84,8,0.0003414548873833,0.46045318331303,-0.0401106770833333
85,85,8,0.0004641588833612,0.4331300160260717,-0.0007617187499999
86,86,8,0.0006309573444801,0.4081538290396965,-0.0177343749999999
87,87,8,0.0008576958985908,0.3784908796045048,-0.01400390625
88,88,8,0.0011659144011798,0.3603036882970182,-0.0492187499999999
89,89,8,0.0015848931924611,0.3043023432093915,-0.1411653645833333
90,90,8,0.0021544346900318,0.2633280387015565,0.0033723958333333
91,91,8,0.0029286445646252,0.2127434878842135,-0.0138411458333333
92,92,8,0.0039810717055349,0.1307257887729175,-0.0052539062499999
93,93,8,0.0054116952654646,0.0849232896671778,0.0460221354166666
94,94,8,0.0073564225445964,0.0459629757707787,0.0182356770833333
95,95,8,0.01,0.0328168065495697,0.0747330729166666
96,96,16,0.0001,0.4714925894164375,-0.0296093749999999
97,97,16,0.0001359356390878,0.4588403226297077,0.0351757812499999
98,98,16,0.0001847849797422,0.4525399071192512,-0.0270377604166666
99,99,16,0.0002511886431509,0.4352573507844176,-0.0219270833333333
100,100,16,0.0003414548873833,0.4204694750681622,-0.0500195312499999
101,101,16,0.0004641588833612,0.397349291511561,0.0168489583333333
102,102,16,0.0006309573444801,0.360275962501713,-0.0538997395833333
103,103,16,0.0008576958985908,0.3407177354497668,0.0127734375
104,104,16,0.0011659144011798,0.2829043238894498,0.0150716145833333
105,105,16,0.0015848931924611,0.2297612336696749,0.02517578125
106,106,16,0.0021544346900318,0.1673143840260488,0.0092578124999999
107,107,16,0.0029286445646252,0.1282620569872383,-0.0263411458333333
108,108,16,0.0039810717055349,0.0792043436600398,0.0792447916666666
109,109,16,0.0054116952654646,0.0416583076727543,0.1286263020833333
110,110,16,0.0073564225445964,0.0128204810089944,0.1148307291666666
111,111,16,0.01,0.0077696081349136,0.1109765624999999
112,112,32,0.0001,0.4565921286846494,0.0208919270833333
113,113,32,0.0001359356390878,0.4324892370748707,-0.0204231770833333
114,114,32,0.0001847849797422,0.4231860200000992,-0.0422460937499999
115,115,32,0.0002511886431509,0.3980509336021862,-0.0512695312499999
116,116,32,0.0003414548873833,0.3741617223566543,-0.0363802083333333
117,117,32,0.0004641588833612,0.3185975587998533,-0.0357877604166666
118,118,32,0.0006309573444801,0.2873174054833133,-0.0147981770833333
119,119,32,0.0008576958985908,0.2482346645041487,-0.0106705729166666
120,120,32,0.0011659144011798,0.1857012434395172,-0.0219401041666666
121,121,32,0.0015848931924611,0.1246582003167044,-0.0042773437499999
122,122,32,0.0021544346900318,0.0870841828785085,0.1631315104166666
123,123,32,0.0029286445646252,0.0216773982867363,0.1326236979166666
124,124,32,0.0039810717055349,0.0132856737878296,0.1612890625
125,125,32,0.0054116952654646,0.0122452860849547,0.19056640625
126,126,32,0.0073564225445964,0.0039048205814047,0.13572265625
127,127,32,0.01,0.0210434114133113,0.1276106770833333
128,128,4,0.0001,0.4766923480056798,0.0115234375
129,129,4,0.0001359356390878,0.4770658600415837,-0.0226692708333333
130,130,4,0.0001847849797422,0.4909566140605895,-0.0273893229166666
131,131,4,0.0002511886431509,0.4639483299415838,0.0391536458333333
132,132,4,0.0003414548873833,0.4529501392511043,-0.0012174479166666
133,133,4,0.0004641588833612,0.4473336833508133,-0.0095572916666666
134,134,4,0.0006309573444801,0.4289565219497427,-0.0407877604166666
135,135,4,0.0008576958985908,0.411876887886176,0.010625
136,136,4,0.0011659144011798,0.3798173056780011,0.0186328125
137,137,4,0.0015848931924611,0.3540938399206121,0.0173763020833333
138,138,4,0.0021544346900318,0.3071832986634733,-0.0389778645833333
139,139,4,0.0029286445646252,0.272055859597532,-0.09515625
140,140,4,0.0039810717055349,0.2230940985080226,-0.04392578125
141,141,4,0.0054116952654646,0.1404655581934894,-0.0160611979166666
142,142,4,0.0073564225445964,0.0977641195909733,-0.0039388020833333
143,143,4,0.01,0.0443253380044546,0.0002018229166666
144,144,8,0.0001,0.4844647844936974,-0.0379036458333333
145,145,8,0.0001359356390878,0.4626094732021157,-0.1430338541666666
146,146,8,0.0001847849797422,0.4820463980583221,-0.0327083333333333
147,147,8,0.0002511886431509,0.4668133030707117,-0.1014908854166666
148,148,8,0.0003414548873833,0.4285285131981901,-0.0267447916666666
149,149,8,0.0004641588833612,0.4194424233518288,-0.0205924479166666
150,150,8,0.0006309573444801,0.4092469729528553,-0.0608723958333333
151,151,8,0.0008576958985908,0.370612916622043,0.02548828125
152,152,8,0.0011659144011798,0.3500247076277758,-0.0261979166666666
153,153,8,0.0015848931924611,0.3107753022142765,0.0184830729166666
154,154,8,0.0021544346900318,0.2603136263663193,-0.0141471354166666
155,155,8,0.0029286445646252,0.1966770832532976,0.01978515625
156,156,8,0.0039810717055349,0.1488123400793916,0.0176302083333333
157,157,8,0.0054116952654646,0.0834710670933434,-0.0114518229166666
158,158,8,0.0073564225445964,0.0530078954761007,0.0079296874999999
159,159,8,0.01,0.017090901808869,0.0652083333333333
160,160,16,0.0001,0.4713153785557735,-0.0383593749999999
161,161,16,0.0001359356390878,0.4464644179371339,-0.0446679687499999
162,162,16,0.0001847849797422,0.4480895167926526,0.0156640625
163,163,16,0.0002511886431509,0.4386353140192928,-0.0198763020833333
164,164,16,0.0003414548873833,0.4174966246525752,-0.0134505208333333
165,165,16,0.0004641588833612,0.3959617879643759,-0.0483919270833333
166,166,16,0.0006309573444801,0.3555667967034191,-0.0065429687499999
167,167,16,0.0008576958985908,0.3199424810985806,-0.08294921875
168,168,16,0.0011659144011798,0.2942844627315915,-0.03447265625
169,169,16,0.0015848931924611,0.235844439277313,0.0390169270833333
170,170,16,0.0021544346900318,0.1590405025711563,0.0720572916666666
171,171,16,0.0029286445646252,0.1159936517918522,0.0194401041666666
