,mean,mean,mean,mean,std,std,std,std
Size,4,8,16,32,4,8,16,32
Error,,,,,,,,
0.0001,0.48333929490733224,0.47811035150841585,0.47607556872367396,0.45340410688118865,0.009998674877535235,0.008839967698362844,0.007209956947115581,0.007921416649761481
0.0001359356390878,0.47718358522177984,0.472832989194219,0.4596091045239317,0.4395789713063974,0.007074391808781541,0.007797758269491162,0.009858340653572897,0.007366055111567336
0.0001847849797422,0.48057706939818323,0.47193631103351835,0.44324246811988205,0.4220801994393719,0.00797163561492361,0.010746125954829065,0.008371080989812133,0.00435297632090066
0.0002511886431509,0.4622216512958667,0.46168036874425167,0.43232598892246016,0.40190307022568617,0.005271847938291468,0.0073551192637968,0.006146450433828346,0.007247057211487513
0.0003414548873833,0.46316496434852333,0.4488158649849121,0.4172885784945496,0.37107798427001926,0.011250713696301897,0.015236012298142086,0.010714554452732008,0.004703924103212383
0.0004641588833612,0.4463615246215699,0.4294178859918083,0.39639875875440517,0.34011034785933,0.004615842014632598,0.00853935759498643,0.00250618607225157,0.015570048855008659
0.0006309573444801,0.4342384253953674,0.4104810965931381,0.36003217331156384,0.2949997842813464,0.005669698952313102,0.010360416118610423,0.0032465358737971644,0.005345923338914821
0.0008576958985908,0.4143319945320217,0.37689363131255194,0.32770888788251284,0.24502101177699734,0.0023036681178813453,0.004605678716853646,0.009736955856514427,0.002357484946282877
0.0011659144011798,0.38228255352456497,0.35435787865826635,0.2905799297927979,0.1906322519812878,0.006580560266873324,0.0056655619731547585,0.0062340835743398704,0.008188175443732962
0.0015848931924611,0.35123480605330226,0.31150828585842216,0.23255987002047745,0.1316689249895005,0.006062003855798261,0.00671244087592609,0.009586662474573331,0.004851204123319539
0.0021544346900318,0.30329327108003723,0.2627826404900693,0.16557534305403016,0.08258287107991075,0.007030658692084494,0.004830571929379014,0.006480477608986198,0.014667852447063189
0.0029286445646252,0.26311822609002133,0.2030418774221369,0.11977230580779374,0.034763475029716974,0.009681748475625846,0.006882078597715566,0.008505187425819218,0.01379152155298013
0.0039810717055349,0.21018855751690765,0.14512992305456937,0.06997889620410833,0.018805956019054076,0.011470511961309554,0.009644033300633351,0.007347627235691762,0.0050113832241955505
0.0054116952654646,0.14801152372090268,0.09256679394171873,0.042273198632853726,0.014537279577967426,0.008671261377615116,0.010974756984885621,0.007266352435604105,0.0047130871526370076
0.0073564225445964,0.09882401859822405,0.04479513857032667,0.0130439420566053,0.007530929095365799,0.006922451513506457,0.00685264346466788,0.0103501126933695,0.003332497782393581
0.01,0.04438256276001948,0.02163605630811695,0.014329423699804925,0.01109024964854435,0.010859188493616745,0.00837174159620057,0.005416657851781233,0.009004091542974197
