,num_params,num_iter,mse
0,14.0,7.0,0.0017405575874173155
1,16.0,15.0,0.002985739611020126
2,30.0,5.0,0.0035040835208681805
3,8.0,12.0,0.003643278634668373
4,24.0,9.0,0.001472110953769802
5,32.0,7.0,0.0008312366465891752
6,4.0,4.0,0.0002412699355702148
7,20.0,13.0,0.006611219501978894
8,8.0,4.0,0.008116032649824013
9,16.0,6.0,0.0010410679476232079
10,24.0,8.0,0.0007741050482382065
11,2.0,5.0,0.0003214762640301009
12,24.0,5.0,0.0016832480466132268
13,26.0,4.0,0.0347730973831879
14,28.0,6.0,0.0032458458672856303
15,22.0,9.0,0.0043649409662904915
16,4.0,7.0,0.000979234222773072
17,18.0,4.0,0.007284883285138313
18,32.0,9.0,0.0014759038402561385
19,10.0,4.0,0.011439477654651604
20,20.0,5.0,0.007469859840094363
21,18.0,7.0,0.009454466094820587
22,24.0,4.0,0.012443845773053628
23,18.0,6.0,0.001027198554860974
24,32.0,11.0,0.0006026653124737823
25,14.0,6.0,0.021058605779857003
26,10.0,4.0,0.010164986900165261
27,28.0,5.0,0.001569119071819654
28,28.0,11.0,0.007396235848007226
29,6.0,5.0,0.004429758088200772
30,6.0,7.0,0.013229705564225838
31,24.0,8.0,0.004539556102247275
32,24.0,6.0,0.0020602920880907843
33,14.0,6.0,0.0026715864495942395
34,16.0,5.0,0.003280862783575639
35,6.0,6.0,0.0377527111375809
36,20.0,5.0,0.00028891352377808044
37,4.0,4.0,0.00242211003768726
38,24.0,5.0,0.0009256836976377482
39,4.0,7.0,0.0017450597798794566
40,30.0,7.0,0.004997258983044362
41,14.0,8.0,0.015048113493134684
42,2.0,4.0,0.00027936199032067507
43,10.0,7.0,0.019496619981567927
44,8.0,5.0,0.01795248913553084
45,32.0,5.0,0.0014645699534004348
46,16.0,7.0,0.004840021783760499
47,22.0,8.0,0.004231770824145593
48,6.0,9.0,0.012288353456130904
49,6.0,4.0,0.012746431842425694
50,22.0,11.0,0.0034505998048114483
51,22.0,9.0,0.0014230429789110536
52,24.0,6.0,0.0028422164744953825
53,12.0,5.0,0.0017839970817515667
54,6.0,9.0,0.005502024568237935
55,12.0,6.0,0.0020241040810738044
56,22.0,6.0,0.014204600863656073
57,28.0,8.0,0.0004735891070816864
58,14.0,4.0,0.013867267419180042
59,26.0,5.0,0.00903503541044351
60,30.0,6.0,0.0035478600265775252
61,14.0,4.0,0.00075514149938356
62,20.0,7.0,0.003560593195749346
63,6.0,4.0,0.0058563444372284335
64,2.0,4.0,0.0010294058120478454
65,30.0,6.0,0.006586794610002543
66,10.0,4.0,0.00783310645037759
67,16.0,7.0,0.024898347085900732
68,12.0,11.0,0.0019521749361170366
69,18.0,10.0,0.0008158904671886134
70,22.0,4.0,0.002008197544297801
71,6.0,7.0,0.004265881192896931
72,8.0,5.0,0.004567475854112088
73,18.0,6.0,0.007388936848572372
74,28.0,4.0,0.009728287946611295
75,4.0,7.0,0.0027844895769151626
76,20.0,4.0,0.003223988253600151
77,2.0,8.0,0.0008221334664553992
78,10.0,10.0,0.005102343247684934
79,32.0,4.0,0.005172556565321667
80,4.0,5.0,0.0014077348175075078
81,26.0,11.0,0.003059116803071714
82,20.0,4.0,0.12895083425879372
83,20.0,4.0,0.029051420542160776
84,30.0,5.0,0.0004655604828067224
85,2.0,4.0,0.00018408299746794365
86,8.0,8.0,0.005947332575945071
87,4.0,11.0,0.0005263703511162968
88,16.0,6.0,0.003118689642677165
89,14.0,9.0,0.0012960555779194262
90,20.0,9.0,0.002418195402256625
91,22.0,10.0,0.0010319367698657554
92,10.0,7.0,0.003345616911227381
93,6.0,6.0,0.004858645687408256
94,16.0,4.0,0.0035828784202568504
95,16.0,12.0,0.003058091269773808
96,28.0,6.0,0.01394442234624017
97,6.0,4.0,0.0026449526399318123
98,28.0,6.0,0.021770859848259744
99,24.0,6.0,0.0015093406043397094
100,18.0,5.0,0.007039268804409878
101,30.0,4.0,0.018092159291691407
102,20.0,9.0,0.001584389182833733
103,26.0,8.0,0.005736306238733736
104,10.0,13.0,0.0018244838684846265
105,16.0,4.0,0.021944179468281866
106,16.0,5.0,0.0016999662987362523
107,20.0,4.0,0.009956912956386503
108,18.0,13.0,0.00047740017038907525
109,26.0,7.0,0.008796748965880851
110,4.0,13.0,0.0003528836982883994
111,14.0,4.0,0.008598617474775338
112,10.0,5.0,0.0060963387713199
113,2.0,4.0,0.00025173740175856303
114,2.0,6.0,0.00035188902259248797
115,2.0,4.0,0.001195803808433863
116,12.0,4.0,0.0033240168958869323
117,32.0,4.0,0.003251589742793842
118,6.0,15.0,0.00014023098771921656
119,26.0,10.0,0.004819784009122414
120,18.0,9.0,0.006609248986581036
121,28.0,6.0,0.002786269672961638
122,22.0,8.0,0.003088065362364717
123,14.0,12.0,0.0029469336771345772
124,16.0,4.0,0.016473073029242533
125,6.0,11.0,0.01488759174935218
126,26.0,7.0,0.003431407154407082
127,32.0,4.0,0.014314912895162651
128,18.0,8.0,0.0124211078720494
129,30.0,8.0,0.009801320378306111
130,4.0,5.0,0.0003817508981679009
131,14.0,9.0,0.002564670054480356
132,20.0,4.0,0.0029092075380629983
133,22.0,5.0,0.008532190538651951
134,8.0,5.0,0.0026306468950787355
135,22.0,4.0,0.008850110607882562
136,16.0,6.0,0.0020368717282234403
137,16.0,4.0,0.0049436386122420255
138,12.0,17.0,0.0017491216535198218
139,32.0,4.0,0.027138725143021538
140,18.0,10.0,0.0021789372987479714
141,32.0,6.0,0.011982898684692773
142,12.0,8.0,0.0023318924588691865
143,18.0,8.0,0.00033187089721523446
144,22.0,8.0,0.003884737446172868
145,30.0,9.0,0.01858194464625993
146,14.0,7.0,0.004938783205969591
147,26.0,12.0,0.0038568960983995783
148,14.0,5.0,0.008456206995835037
149,8.0,5.0,0.002805786966522634
150,28.0,12.0,0.0013411799282393038
151,10.0,10.0,0.0049629382430035375
152,6.0,6.0,0.010508251662182926
153,18.0,5.0,0.023565545490619837
154,32.0,8.0,0.00201541222507333
155,30.0,6.0,0.0019274279728678694
156,12.0,9.0,0.0007024927193691631
157,28.0,15.0,0.0011607794907240116
158,12.0,7.0,0.0036667579941678575
159,30.0,10.0,0.001048981294259342
160,4.0,10.0,0.0002554255247409369
161,2.0,5.0,0.0008126998302899734
162,12.0,5.0,0.006024904775613769
163,8.0,5.0,0.0017511139017159043
164,28.0,8.0,0.0007757453854419457
165,32.0,9.0,0.0018324025346449808
166,32.0,11.0,0.007389732433791475
167,12.0,5.0,0.011244733907306936
168,24.0,6.0,0.0004502459086125869
169,14.0,6.0,0.024690593723080936
170,18.0,10.0,0.002093296723646188
171,10.0,8.0,0.007684274400028283
172,26.0,4.0,0.001861330853099991
173,16.0,4.0,0.0012821784296460832
174,26.0,6.0,0.008266898493116105
175,4.0,5.0,0.0042374133414659326
176,24.0,5.0,0.007363654693640809
177,28.0,5.0,0.020646970762009623
178,22.0,4.0,0.012161695918578411
179,22.0,4.0,0.012412916573538416
180,2.0,8.0,0.00031416017143817167
181,26.0,7.0,0.004901585062406221
182,16.0,10.0,0.0008052059805076572
183,28.0,11.0,0.0014918065007795353
184,26.0,9.0,0.0037729238839675537
