,layers,num_params,expr,entcap,num_iter,last_cost,acc
0,1.0,14.0,0.3639182840970413,0.1791191148851649,1023.0,0.12742642280263783,0.90625
1,1.0,14.0,0.2812377566644746,0.1822627056507971,1023.0,0.13267437364974607,0.9375
2,1.0,14.0,0.31528330938604926,0.1816689775614543,1023.0,0.150460241244192,0.875
3,1.0,14.0,0.36331684710538376,0.1857631762503665,1023.0,0.1248963210667071,0.9375
4,1.0,14.0,0.3472237862835983,0.18237336845725116,1023.0,0.25403647586447203,0.78125
5,1.0,14.0,0.27305173735902954,0.17952168946736663,1023.0,0.122161247509135,0.96875
6,1.0,14.0,0.2575351700399101,0.18355895249088358,1023.0,0.1912300135156388,0.875
7,1.0,14.0,0.33199414727832577,0.18463112367913553,1023.0,0.12464993212209063,0.90625
8,1.0,14.0,0.3639182840970413,0.1791191148851649,1023.0,0.13221175416070569,0.90625
9,1.0,14.0,0.2812377566644746,0.1822627056507971,1023.0,0.1253726593545288,0.90625
10,1.0,14.0,0.31528330938604926,0.1816689775614543,1023.0,0.14837391289774737,0.875
11,1.0,14.0,0.36331684710538376,0.1857631762503665,1023.0,0.10580215578059776,0.90625
12,1.0,14.0,0.3472237862835983,0.18237336845725116,1023.0,0.25407478140618367,0.78125
13,1.0,14.0,0.27305173735902954,0.17952168946736663,1023.0,0.1124804435384134,1.0
14,1.0,14.0,0.2575351700399101,0.18355895249088358,1023.0,0.17921652844126598,0.78125
15,1.0,14.0,0.33199414727832577,0.18463112367913553,1023.0,0.10112310295757457,0.9375
16,2.0,28.0,0.10210029230163488,0.3503289240354238,1023.0,0.11922442260801924,0.875
17,2.0,28.0,0.10410385411137808,0.35977113569656977,1023.0,0.12960805562892108,0.84375
18,2.0,28.0,0.14905462632002772,0.35265268888407514,1023.0,0.08480537552194505,0.9375
19,2.0,28.0,0.11534634760404572,0.3482028779942389,1023.0,0.13482641915627594,1.0
20,2.0,28.0,0.12198182538803572,0.3457554622006191,1023.0,0.10934708689008302,0.96875
21,2.0,28.0,0.10250829894369458,0.34668470172867355,1023.0,0.10568417161554318,0.875
22,2.0,28.0,0.14702446783476583,0.34495110307414056,1023.0,0.10272257990559078,0.84375
23,2.0,28.0,0.14495764493671298,0.3492819884036964,1023.0,0.1141405408471786,1.0
24,2.0,28.0,0.10210029230163488,0.3503289240354238,1023.0,0.11903702280156045,0.875
25,2.0,28.0,0.10410385411137808,0.35977113569656977,1023.0,0.13165775501279267,0.8125
26,2.0,28.0,0.14905462632002772,0.35265268888407514,1023.0,0.08268241209460281,0.9375
27,2.0,28.0,0.11534634760404572,0.3482028779942389,1023.0,0.12361296913124223,0.9375
28,2.0,28.0,0.12198182538803572,0.3457554622006191,1023.0,0.11409726017508307,0.96875
29,2.0,28.0,0.10250829894369458,0.34668470172867355,1023.0,0.17347024009551093,0.90625
30,2.0,28.0,0.14702446783476583,0.34495110307414056,1023.0,0.10309105586875125,0.84375
31,2.0,28.0,0.14495764493671298,0.3492819884036964,1023.0,0.10111173343551724,0.875
32,3.0,42.0,0.07116860967286867,0.4619221502656065,1023.0,0.10668962857102954,0.875
33,3.0,42.0,0.06807818741528901,0.47138276613510466,1023.0,0.09402879219775978,0.875
34,3.0,42.0,0.07845863307762421,0.4616956603466943,1023.0,0.09895244881569282,0.90625
35,3.0,42.0,0.08643013898935917,0.4665600649147835,1023.0,0.08019234212305862,1.0
36,3.0,42.0,0.11103899478886695,0.4589207228457607,1023.0,0.0946837058583074,0.9375
37,3.0,42.0,0.08633470780491635,0.47086773907046087,1023.0,0.10578264583972397,0.9375
38,3.0,42.0,0.061840526991620265,0.46671529200152156,1023.0,0.10679323635833464,0.9375
39,3.0,42.0,0.09889814096889234,0.47281524250177076,1023.0,0.11110486270649317,0.96875
40,3.0,42.0,0.07116860967286867,0.4619221502656065,1023.0,0.11553579180302258,0.90625
41,3.0,42.0,0.06807818741528901,0.47138276613510466,1023.0,0.09253311611764833,0.84375
42,3.0,42.0,0.07845863307762421,0.4616956603466943,1023.0,0.08940726405550996,0.875
43,3.0,42.0,0.08643013898935917,0.4665600649147835,1023.0,0.0796393284205254,1.0
44,3.0,42.0,0.11103899478886695,0.4589207228457607,1023.0,0.08964366706918007,0.96875
45,3.0,42.0,0.08633470780491635,0.47086773907046087,1023.0,0.11744844664867515,0.90625
46,3.0,42.0,0.061840526991620265,0.46671529200152156,1023.0,0.10595943530540844,0.9375
47,3.0,42.0,0.09889814096889234,0.47281524250177076,1023.0,0.11103000913289654,0.9375
48,4.0,56.0,0.054000679619736536,0.5444617933947122,1023.0,0.10556356548738838,0.875
49,4.0,56.0,0.06409799773369909,0.5541976263719853,1023.0,0.08155077487436282,0.9375
50,4.0,56.0,0.03476710208212781,0.5419080770720491,1023.0,0.06157861512501109,0.84375
51,4.0,56.0,0.03813578861164037,0.5546531477048905,1023.0,0.07757008727336545,0.875
52,4.0,56.0,0.04061533758914397,0.5499081785828468,1023.0,0.09423612679292415,0.96875
53,4.0,56.0,0.06048519639230951,0.5410264483316477,1023.0,0.08231972690720357,0.96875
54,4.0,56.0,0.027907668641684077,0.5463211921653834,1023.0,0.06110895529547957,0.9375
55,4.0,56.0,0.05400706741079373,0.5369732753790661,1023.0,0.10174748268332845,0.96875
56,4.0,56.0,0.054000679619736536,0.5444617933947122,1023.0,0.09760226708492062,0.90625
57,4.0,56.0,0.06409799773369909,0.5541976263719853,1023.0,0.09134305723885405,0.9375
58,4.0,56.0,0.03476710208212781,0.5419080770720491,1023.0,0.055602326321387105,0.84375
59,4.0,56.0,0.03813578861164037,0.5546531477048905,1023.0,0.07878700978071455,0.875
60,4.0,56.0,0.04061533758914397,0.5499081785828468,1023.0,0.09418018780726745,0.96875
61,4.0,56.0,0.06048519639230951,0.5410264483316477,1023.0,0.08203267499423131,0.96875
62,4.0,56.0,0.027907668641684077,0.5463211921653834,1023.0,0.06769573334073695,0.9375
63,4.0,56.0,0.05400706741079373,0.5369732753790661,1023.0,0.10342404788824587,0.9375
64,5.0,70.0,0.04867175976006991,0.6122490167263166,1023.0,0.10716627918302644,0.90625
