dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,1,1,12,0.3338565704178158,2.5464530459580014e-32,1024,0.1621825449338152,0.9333333333333333
0,1,1,12,0.40746881580388955,2.510169342848654e-32,1024,0.14873848432379952,0.9733333333333334
0,1,1,12,0.2715112883416314,2.6049206240411496e-32,1024,0.16343613703058626,0.96
0,1,1,12,0.27951319065353714,2.5902124518227336e-32,1024,0.15837382657676893,0.9866666666666667
0,1,1,12,0.29202139513288156,2.583021841189753e-32,1024,0.15813892489546583,0.98
0,1,1,12,0.3618630419433442,2.5423213754028374e-32,1024,0.1586876848768789,0.9866666666666667
0,1,1,12,0.3346470143403274,2.611846760753177e-32,1024,0.19690029107445955,0.96
0,1,1,12,0.2877969610803855,2.570272420969375e-32,1024,0.14079185976322134,0.98
0,1,2,24,0.18692970223076172,8.341599711550061e-32,1024,0.15048121267179304,0.9666666666666667
0,1,2,24,0.2799582398442544,8.418193537290403e-32,1024,0.14118344387463377,0.98
0,1,2,24,0.24398359503641778,8.155766510147711e-32,1024,0.14860220832425958,0.98
0,1,2,24,0.2769355107858006,8.335816967204881e-32,1024,0.1541631577098206,0.9866666666666667
0,1,2,24,0.21114916293768984,8.286524177378472e-32,1024,0.1416782639196524,0.98
0,1,2,24,0.22204142790802797,8.173652631557318e-32,1024,0.14047222576576124,0.98
0,1,2,24,0.26120160973006157,8.178682227831807e-32,1024,0.15710446016319157,0.9866666666666667
0,1,2,24,0.20827692670156073,8.325071710036248e-32,1024,0.14714809312592775,0.98
0,1,3,36,0.25718785042377706,1.4767995724685776e-31,1024,0.15064142918046441,0.9666666666666667
0,1,3,36,0.2829144769095723,1.4805287560267197e-31,1024,0.1427928934584447,0.9866666666666667
0,1,3,36,0.22909839278744823,1.4703517614970835e-31,1024,0.1417477285986851,0.98
0,1,3,36,0.2429976014006667,1.466296637845437e-31,1024,0.1404877260670967,0.98
0,1,3,36,0.2398330470799678,1.4387423211871202e-31,1024,0.14042305612242467,0.98
0,1,3,36,0.23391795599051698,1.4764425345898798e-31,1024,0.1405249522591459,0.98
0,1,3,36,0.22488178315950286,1.4505591581533575e-31,1024,0.16556051732708255,0.9533333333333334
0,1,3,36,0.2537183644886134,1.479361380990291e-31,1024,0.1405399194087545,0.98
0,1,4,48,0.32973458707347436,2.1156554652519638e-31,1024,0.14044235271803784,0.98
0,1,4,48,0.25189224528242177,2.0990526860240365e-31,1024,0.14037387299443777,0.98
0,1,4,48,0.25677882014191566,2.128690850650057e-31,1024,0.14968776525515,0.98
0,1,4,48,0.1768301724802238,2.0975467034206237e-31,1024,0.1419713451822501,0.9866666666666667
0,1,4,48,0.22425192281298378,2.117507840224946e-31,1024,0.15059383017046812,0.9666666666666667
0,1,4,48,0.19022262042166896,2.1039055093494094e-31,1024,0.14508791363791618,0.9866666666666667
0,1,4,48,0.2883192494592374,2.1267081334806973e-31,1024,0.15040148750224697,0.9666666666666667
0,1,4,48,0.21816997857480913,2.1029808768702623e-31,1024,0.14824727451445086,0.98
0,1,5,60,0.20890596881783235,2.7479624897006104e-31,1024,0.14340463631387732,0.9866666666666667
0,1,5,60,0.2801268619521406,2.7810254133255704e-31,1024,0.15065508120325158,0.98
0,1,5,60,0.3135081557447998,2.7886907572630195e-31,1024,0.14777213585828308,0.98
0,1,5,60,0.215835987041378,2.7739448128169696e-31,1024,0.14270364403744823,0.9866666666666667
0,1,5,60,0.21088913170585338,2.779139342789971e-31,1024,0.14297575389392006,0.9866666666666667
0,1,5,60,0.23996678943720526,2.757073187883553e-31,1024,0.14055915588459328,0.98
0,1,5,60,0.25594550598062005,2.7491337004695127e-31,1024,0.14048923929456528,0.98
0,1,5,60,0.22658439142052425,2.776688248053523e-31,1024,0.15068041944679308,0.9666666666666667
0,1,6,72,0.2772658884830519,3.4469601639430966e-31,1024,0.14047449319246688,0.98
0,1,6,72,0.2797801473880588,3.460245261298795e-31,1024,0.14047947670684433,0.98
0,1,6,72,0.30491371320623506,3.444559620238991e-31,1024,0.15041420042173964,0.9666666666666667
0,1,6,72,0.260229614717905,3.392782374231768e-31,1024,0.14042619043244484,0.98
0,1,6,72,0.3293617460321796,3.4625962392687524e-31,1024,0.14046053314570217,0.98
0,1,6,72,0.2265736618988639,3.4979525985318647e-31,1024,0.14043298202045446,0.98
0,1,6,72,0.19190066234477404,3.428292031713092e-31,1024,0.14485805085573586,0.98
0,1,6,72,0.3145182523314725,3.4364315577531012e-31,1024,0.15072365305189064,0.9666666666666667
0,1,7,84,0.30200017901271337,4.067957032008534e-31,1024,0.1505533909747799,0.9666666666666667
0,1,7,84,0.2802288276176953,4.045856386219834e-31,1024,0.14041277357263787,0.98
0,1,7,84,0.3762217793100127,4.103796883521698e-31,1024,0.14053135156457153,0.98
0,1,7,84,0.2734531937087016,4.0604484711345815e-31,1024,0.15633140507943755,0.9866666666666667
0,1,7,84,0.20117820342655485,4.109345213830933e-31,1024,0.14042022262291456,0.98
0,1,7,84,0.1936325777287267,4.076347163107855e-31,1024,0.14707536754106015,0.98
0,1,7,84,0.19975875319509045,4.130914898770427e-31,1024,0.14132066414184716,0.98
0,1,7,84,0.23640627142221218,4.070604066278631e-31,1024,0.142781504758965,0.9866666666666667
0,1,8,96,0.32234989858946195,4.647750351732495e-31,1024,0.14043303048019176,0.98
0,1,8,96,0.29336080413669086,4.8058954859105156e-31,1024,0.14045071357692548,0.98
0,1,8,96,0.23817879576085035,4.743078537871072e-31,1024,0.14023380509677755,0.98
