,dataset,circuit_id,layer,num_params,dataset,"('accuracy', 'mean')","('accuracy', 'median')","('accuracy', 'std')","('entcap', 'mean')","('expr', 'mean')","('last_cost_avg', 'mean')","('last_cost_avg', 'median')","('last_cost_avg', 'std')","('num_iter', 'mean')","('num_iter', 'median')","('num_iter', 'std')"
0,0.0,1.0,1.0,12.0,0.0,0.90625,0.9140625,0.032346823094172854,2.6031422393359724e-32,0.3108424958548571,0.16461467742919922,0.16416168212890625,0.01958480306613808,66.625,62.0,21.507058641956867
1,0.0,1.0,2.0,24.0,0.0,0.919921875,0.921875,0.028245648961704825,8.220317703164398e-32,0.23814342728491555,0.15242958068847656,0.14678955078125,0.017756311014370668,84.875,63.5,42.50861257271452
2,0.0,1.0,3.0,36.0,0.0,0.912109375,0.90625,0.030040778646640103,1.4532216427675924e-31,0.22318661723626532,0.1592869758605957,0.14742469787597656,0.04129679701884175,88.375,89.5,25.911594205793563
3,0.0,1.0,4.0,48.0,0.0,0.90625,0.9140625,0.03443582281370875,2.1142818597360455e-31,0.2537686616109821,0.14954710006713867,0.14302635192871094,0.01626632225582068,96.75,96.0,28.303205270276873
4,0.0,1.0,5.0,60.0,0.0,0.93359375,0.9453125,0.02862891816602826,2.782171892601078e-31,0.28385277027463107,0.15488958358764648,0.14971923828125,0.019578161052502766,72.375,70.0,23.796383278617302
5,0.0,1.0,6.0,72.0,0.0,0.939453125,0.9453125,0.024260117320629614,3.4312699665509013e-31,0.26043716247863646,0.1497025489807129,0.14999771118164062,0.00987814258837944,71.0,71.0,22.05836414087474
6,0.0,1.0,7.0,84.0,0.0,0.923828125,0.9296875,0.026982628133340576,4.095987416164852e-31,0.2505804721745758,0.15848016738891602,0.1457653045654297,0.025241189765479784,67.0,66.5,23.62202362203543
7,0.0,1.0,8.0,96.0,0.0,0.92578125,0.9296875,0.028628918166028264,4.75331866808547e-31,0.24958819578438407,0.14511871337890625,0.1415233612060547,0.012855739357320687,67.125,67.5,8.757649717328764
8,0.0,2.0,1.0,12.0,0.0,0.900390625,0.90625,0.04793263676672414,0.7241751912319299,0.30075704332983094,0.14272403717041016,0.1491069793701172,0.02893815967795695,110.875,103.5,33.846027409853754
9,0.0,2.0,2.0,24.0,0.0,0.9140625,0.921875,0.03443582281370874,0.788457202575088,0.04454817122233384,0.1211843490600586,0.11545944213867188,0.025245101922233237,106.125,102.5,34.9915806199965
10,0.0,2.0,3.0,36.0,0.0,0.92578125,0.9140625,0.03314563036811942,0.881015668449666,0.016035045019096982,0.11364316940307617,0.12021636962890625,0.02226327809257578,104.125,104.5,31.059562594657198
11,0.0,2.0,4.0,48.0,0.0,0.919921875,0.921875,0.02426011732062964,0.9070891406486791,0.005466259579893633,0.12144231796264648,0.12252044677734375,0.011428953592045168,88.375,85.0,35.90040787671201
12,0.0,2.0,5.0,60.0,0.0,0.884765625,0.8828125,0.056606940414802485,0.930531695674834,0.0047407361874571225,0.10506057739257812,0.10848617553710938,0.016921544981124647,119.0,114.0,46.34652090502587
13,0.0,2.0,6.0,72.0,0.0,0.859375,0.84375,0.040054371528853494,0.9416258419598913,0.005905371753464735,0.1233367919921875,0.129547119140625,0.012900837242536344,110.0,86.5,48.17527522347063
14,0.0,2.0,7.0,84.0,0.0,0.74609375,0.7578125,0.09622840086964228,0.9475389507622805,0.0045799552894467965,0.13091230392456055,0.12634849548339844,0.014653242895077707,87.875,72.0,33.56204276091839
15,0.0,2.0,8.0,96.0,0.0,0.73828125,0.734375,0.1356382687716013,0.950930432895542,0.004556792165299373,0.1295466423034668,0.13533592224121094,0.01750925130300694,82.5,80.0,33.513323576495026
16,0.0,3.0,1.0,17.0,0.0,0.912109375,0.90625,0.03227936353566869,0.1873617983016523,0.2863171964823348,0.18314599990844727,0.1722087860107422,0.03817527205968721,86.0,92.0,26.720778431774775
17,0.0,3.0,2.0,34.0,0.0,0.9375,0.953125,0.031249999999999972,0.3647576248316262,0.13280507444660758,0.13426542282104492,0.13450050354003906,0.016412422328873723,83.75,75.0,39.938345340930546
18,0.0,3.0,3.0,51.0,0.0,0.9296875,0.9296875,0.014465939058946104,0.4814506926015118,0.08331497255811167,0.15477705001831055,0.15930747985839844,0.022524710974765418,72.25,71.0,20.19016733815887
19,0.0,3.0,4.0,68.0,0.0,0.919921875,0.921875,0.02824564896170484,0.5596560136463566,0.06639072694703382,0.13804388046264648,0.13173675537109375,0.016364162030610484,78.875,79.0,25.68733706934772
20,0.0,3.0,5.0,85.0,0.0,0.89453125,0.890625,0.03804477801129311,0.6220777646770674,0.04141182798973115,0.13068532943725586,0.13106727600097656,0.016259041298324634,84.625,86.0,22.58910925961573
21,0.0,3.0,6.0,102.0,0.0,0.828125,0.84375,0.11542574530221335,0.6638528457215399,0.03654291240926488,0.1347818374633789,0.13504600524902344,0.02361776924830661,70.75,52.5,40.18084120572888
22,0.0,3.0,7.0,119.0,0.0,0.8515625,0.875,0.09485950607533832,0.6989684845292377,0.035833733892614086,0.12984418869018555,0.126983642578125,0.010571151091399087,73.5,63.5,18.647098587026502
23,0.0,3.0,8.0,136.0,0.0,0.68359375,0.703125,0.16081501059891323,0.7305722327230018,0.020519852963328585,0.13477468490600586,0.1431407928466797,0.01758982099657681,82.75,85.5,18.9717835595015
24,0.0,4.0,1.0,17.0,0.0,0.908203125,0.90625,0.030615773938270543,0.35822606856848166,0.18507143460475806,0.14472341537475586,0.15270233154296875,0.022584771667134705,99.625,84.5,40.60590210442672
25,0.0,4.0,2.0,34.0,0.0,0.9296875,0.9375,0.025055741429289784,0.5227854636445596,0.08946031120399582,0.13639307022094727,0.13566970825195312,0.014496505541409632,95.375,91.0,38.54102637820786
26,0.0,4.0,3.0,51.0,0.0,0.93359375,0.9375,0.02002718576442675,0.6248087386992454,0.032539826580282684,0.12941312789916992,0.12529754638671875,0.016100015360322323,98.625,97.0,36.551089489331815
27,0.0,4.0,4.0,68.0,0.0,0.927734375,0.9375,0.026328406500190728,0.6915304666515202,0.028787177576598825,0.1325235366821289,0.12997817993164062,0.01487042735529917,85.25,88.0,12.914554358773445
28,0.0,4.0,5.0,85.0,0.0,0.83984375,0.8515625,0.09365694786788949,0.7404732015845829,0.01642714356083263,0.12889432907104492,0.1310291290283203,0.023085690639702627,66.875,60.5,17.75578376594109
29,0.0,4.0,6.0,102.0,0.0,0.84375,0.8828125,0.10431537004953502,0.778669699867808,0.010533806677773136,0.14050674438476562,0.144744873046875,0.019254669562468785,83.375,81.0,32.62311844601704
30,0.0,4.0,7.0,119.0,0.0,0.708984375,0.6796875,0.18047430611422421,0.8101423201915596,0.009676454765898112,0.13052606582641602,0.12896728515625,0.010534587451851764,67.625,66.0,12.512136964906171
31,0.0,4.0,8.0,136.0,0.0,0.748046875,0.734375,0.1457253400098354,0.8328478838237393,0.006198244266058792,0.11916303634643555,0.11915969848632812,0.011549729738711649,84.25,78.5,26.842131062939096
32,0.0,5.0,1.0,54.0,0.0,0.931640625,0.9375,0.02496859076026462,0.38147667013146824,0.0783706390704884,0.12424516677856445,0.12844276428222656,0.020443103785372476,91.625,73.0,44.49699026740059
33,0.0,5.0,2.0,108.0,0.0,0.927734375,0.9375,0.02632840650019073,0.7113181391508008,0.010590539701788373,0.11456727981567383,0.11261177062988281,0.007520959413484786,103.75,84.0,84.39998307379655
34,0.0,5.0,3.0,162.0,0.0,0.662109375,0.65625,0.17911642559355273,0.8507249630521199,0.005174498419258816,0.12024211883544922,0.1162261962890625,0.011185180221844566,84.375,76.5,24.552785701713884
35,0.0,5.0,4.0,216.0,0.0,0.763671875,0.8359375,0.193799946759124,0.910785769320068,0.004629992962828957,0.12576675415039062,0.12641334533691406,0.010530057449790135,92.125,86.0,26.680316447041733
36,0.0,5.0,5.0,270.0,0.0,0.759765625,0.796875,0.1608556700771911,0.9354140104750386,0.0057154001937011365,0.13330459594726562,0.12545013427734375,0.02431168865069135,98.25,98.5,27.988518053965326
37,0.0,5.0,6.0,324.0,0.0,0.845703125,0.9140625,0.11434422766171264,0.9462690844995478,0.004749947966717524,0.1416635513305664,0.14278793334960938,0.02412072711401046,104.375,103.0,22.070908454343243
38,0.0,5.0,7.0,378.0,0.0,0.837890625,0.875,0.14632245515195688,0.9503767981270932,0.006079237033952522,0.13371562957763672,0.13430023193359375,0.02453124819799668,131.0,120.0,53.470953396613915
