,Size,Error,Amp,Bias
0,4,0.0001,0.48601688919013797,0.02721354166666667
1,4,0.00013593563908785255,0.47459408497859357,-0.000631510416666657
2,4,0.00018478497974222906,0.4779691280341201,-0.01965494791666666
3,4,0.00025118864315095795,0.47299986936587735,-0.010950520833333328
4,4,0.0003414548873833601,0.4619234875347564,-0.0173828125
5,4,0.00046415888336127773,0.44659885097183283,0.0038020833333333426
6,4,0.000630957344480193,0.43345320345732957,-0.01779296874999999
7,4,0.0008576958985908946,0.40271926979190703,0.01623697916666668
8,4,0.0011659144011798312,0.38546782500403853,0.027382812500000006
9,4,0.001584893192461114,0.35523681997719575,-0.019798177083333313
10,4,0.002154434690031882,0.32405571938269623,0.02604817708333334
11,4,0.0029286445646252374,0.2647150837953659,0.01214192708333333
12,4,0.003981071705534973,0.21432215907569802,0.055826822916666664
13,4,0.0054116952654646375,0.14179474338773912,-0.008053385416666666
14,4,0.007356422544596414,0.09201240400269008,0.028222656250000002
15,4,0.01,0.06426453654695445,0.05481770833333334
16,8,0.0001,0.48166062794602515,-0.020748697916666663
17,8,0.00013593563908785255,0.47079404135377895,0.028072916666666677
18,8,0.00018478497974222906,0.46603681841462063,-0.01837239583333334
19,8,0.00025118864315095795,0.4753132360710332,-0.01147786458333332
20,8,0.0003414548873833601,0.4326303247962947,0.004628906250000012
21,8,0.00046415888336127773,0.42808947331867664,0.016562500000000008
22,8,0.000630957344480193,0.4211400673680688,-0.027571614583333317
23,8,0.0008576958985908946,0.38357868363402753,-0.017265624999999993
24,8,0.0011659144011798312,0.33997961292157713,0.028854166666666667
25,8,0.001584893192461114,0.3135416593148428,-0.060013020833333326
26,8,0.002154434690031882,0.26170665278841226,-0.015852864583333338
27,8,0.0029286445646252374,0.2006876957367219,-0.055065104166666656
28,8,0.003981071705534973,0.14200543976176025,0.02203776041666667
29,8,0.0054116952654646375,0.09595176990701158,0.049472656250000004
30,8,0.007356422544596414,0.04999358505477079,0.058391927083333336
31,8,0.01,0.025052584963550478,0.05430338541666667
32,16,0.0001,0.4642494803253727,-0.02534505208333333
33,16,0.00013593563908785255,0.44817064580939503,-0.007200520833333336
34,16,0.00018478497974222906,0.4538485271096925,0.022063802083333337
35,16,0.00025118864315095795,0.4380578774514504,-0.01286458333333333
36,16,0.0003414548873833601,0.41971054633082966,-0.02005859375
37,16,0.00046415888336127773,0.40600397015762174,0.014381510416666674
38,16,0.000630957344480193,0.36361987450750777,-0.023867187499999987
39,16,0.0008576958985908946,0.32262606236449703,-0.06704427083333334
40,16,0.0011659144011798312,0.28905602838393823,-0.021119791666666655
41,16,0.001584893192461114,0.23656224738696613,-0.024055989583333326
42,16,0.002154434690031882,0.16385206421942283,0.01131510416666667
43,16,0.0029286445646252374,0.13162137779306296,0.008925781249999999
44,16,0.003981071705534973,0.059260862756459906,-0.005149739583333334
45,16,0.0054116952654646375,0.04916169325305011,0.09823567708333333
46,16,0.007356422544596414,0.014684416927513436,0.11332031249999999
47,16,0.01,0.0017131398427322295,0.12125
48,32,0.0001,0.4548175787626348,-0.01891927083333333
49,32,0.00013593563908785255,0.4501180003380817,-0.015260416666666663
50,32,0.00018478497974222906,0.42497056170097236,-0.030117187499999996
51,32,0.00025118864315095795,0.41256611884276617,-0.07970703125
52,32,0.0003414548873833601,0.3586732962769927,0.0009960937500000048
53,32,0.00046415888336127773,0.3301937494967775,-0.016855468749999995
54,32,0.000630957344480193,0.2994728886289213,0.03496744791666667
55,32,0.0008576958985908946,0.2517429372218468,-0.02704427083333332
56,32,0.0011659144011798312,0.1862834025289904,-0.030494791666666667
57,32,0.001584893192461114,0.14161616024707357,0.03662109375
58,32,0.002154434690031882,0.0788858925682568,0.0926171875
59,32,0.0029286445646252374,0.04023252298197476,0.04952473958333333
60,32,0.003981071705534973,0.03809828915457679,0.08853515625
61,32,0.0054116952654646375,0.001845828016306175,0.18582031250000003
62,32,0.007356422544596414,0.009971009356987129,0.12484374999999999
63,32,0.01,0.00989009153710434,0.11585937499999999
64,4,0.0001,0.48060092178389174,-5.2083333333324995e-05
65,4,0.00013593563908785255,0.4778661811693697,-0.012753906249999983
66,4,0.00018478497974222906,0.4652063729589183,0.028072916666666677
67,4,0.00025118864315095795,0.46471271464133546,0.006738281250000007
68,4,0.0003414548873833601,0.45981357856115346,-0.016653645833333328
69,4,0.00046415888336127773,0.43925513603810945,-0.014329427083333334
70,4,0.000630957344480193,0.4182170477341602,-0.028639322916666647
71,4,0.0008576958985908946,0.4171471201726662,0.008209635416666673
72,4,0.0011659144011798312,0.39613451864926136,0.003307291666666666
73,4,0.001584893192461114,0.3489709250002623,-0.007174479166666662
74,4,0.002154434690031882,0.3045904262628338,-0.033398437499999996
75,4,0.0029286445646252374,0.2558559585463248,-0.013274739583333328
76,4,0.003981071705534973,0.20349212222839125,0.06990234375
77,4,0.0054116952654646375,0.14173752355755617,-0.03854166666666666
78,4,0.007356422544596414,0.10148386068718314,0.011464843750000002
79,4,0.01,0.05126737402779472,0.04572916666666667
80,8,0.0001,0.47597913846236684,-0.0018815104166666557
81,8,0.00013593563908785255,0.4908768417498262,0.03445963541666666
82,8,0.00018478497974222906,0.4510750280239128,-0.004726562499999979
83,8,0.00025118864315095795,0.45531959380611614,0.014095052083333335
84,8,0.0003414548873833601,0.44923703331390064,-0.005638020833333323
85,8,0.00046415888336127773,0.4255522513034424,-0.016881510416666662
86,8,0.000630957344480193,0.41138553931616867,-0.029765624999999993
87,8,0.0008576958985908946,0.3749256072180121,-0.034192708333333335
88,8,0.0011659144011798312,0.3620830520358845,0.013828125000000012
89,8,0.001584893192461114,0.2962775320412575,-0.010403645833333332
90,8,0.002154434690031882,0.2583803215020193,-0.006920572916666669
91,8,0.0029286445646252374,0.18827096587778724,-0.06649739583333333
92,8,0.003981071705534973,0.14559385060170144,0.015123697916666668
93,8,0.0054116952654646375,0.07640298398975941,-0.029049479166666663
94,8,0.007356422544596414,0.047682122738363024,-0.0039453125
95,8,0.01,0.02238410631073786,0.049993489583333335
96,16,0.0001,0.4761123124964095,-0.010885416666666647
97,16,0.00013593563908785255,0.4775920507407509,-0.013352864583333325
98,16,0.00018478497974222906,0.463223800243364,0.0030208333333333415
99,16,0.00025118864315095795,0.4206590770976173,-0.012506510416666663
100,16,0.0003414548873833601,0.4192122248378451,-0.02698567708333332
101,16,0.00046415888336127773,0.4001840819893861,0.01216145833333334
102,16,0.000630957344480193,0.3635200919435877,-0.07636718749999999
103,16,0.0008576958985908946,0.33814481475876446,0.0014453125000000009
104,16,0.0011659144011798312,0.28216749906776345,0.005820312499999997
105,16,0.001584893192461114,0.23416369676237267,-0.014602864583333335
106,16,0.002154434690031882,0.16918819337784183,0.04819661458333333
107,16,0.0029286445646252374,0.12880072325474562,0.07000651041666667
108,16,0.003981071705534973,0.058371563877666836,0.011009114583333333
109,16,0.0054116952654646375,0.04559910985292335,0.09371093749999998
110,16,0.007356422544596414,0.02188121891375154,0.09882161458333334
111,16,0.01,0.024171452693410856,0.09031901041666666
112,32,0.0001,0.4544150975378792,-0.03488932291666667
113,32,0.00013593563908785255,0.44356557118177414,-0.018691406249999994
114,32,0.00018478497974222906,0.43123128871191846,-0.043808593749999986
115,32,0.00025118864315095795,0.40170243648945675,-0.03934895833333333
116,32,0.0003414548873833601,0.3754306627548778,-0.031380208333333326
117,32,0.00046415888336127773,0.3388306028606433,0.014173177083333335
118,32,0.000630957344480193,0.2908153866145459,-0.045429687499999996
119,32,0.0008576958985908946,0.24817459343925427,-0.014108072916666667
120,32,0.0011659144011798312,0.16701538171108393,-0.028548177083333334
121,32,0.001584893192461114,0.129991644540986,0.005683593750000002
122,32,0.002154434690031882,0.07801874145800916,0.03290364583333333
123,32,0.0029286445646252374,0.0321445001880027,0.06643229166666667
124,32,0.003981071705534973,0.01905624803082681,0.13280598958333334
125,32,0.0054116952654646375,0.009478601596028076,0.11007161458333332
126,32,0.007356422544596414,0.0035342799799861872,0.15907552083333334
127,32,0.01,0.011364849128369884,0.09693359374999999
128,4,0.0001,0.4802143865840884,0.015325520833333345
129,4,0.00013593563908785255,0.48635366297285265,-0.030820312500000002
130,4,0.00018478497974222906,0.473190567257184,0.006595052083333339
131,4,0.00025118864315095795,0.46015365333847397,-0.019596354166666653
132,4,0.0003414548873833601,0.4713734420504357,-0.003457031249999999
133,4,0.00046415888336127773,0.4385346971173341,0.0011588541666666698
134,4,0.000630957344480193,0.43474918822244696,-0.01458333333333334
135,4,0.0008576958985908946,0.4127928767734432,-0.02190104166666666
136,4,0.0011659144011798312,0.3904355002602351,0.03191406250000002
137,4,0.001584893192461114,0.37106418597996277,0.008873697916666675
138,4,0.002154434690031882,0.3036219983035034,-0.0330859375
139,4,0.0029286445646252374,0.2537715118618769,-0.03645182291666666
140,4,0.003981071705534973,0.20720830534234144,0.024641927083333338
141,4,0.0054116952654646375,0.14673244159404894,0.006640625000000003
142,4,0.007356422544596414,0.09544216730982659,-0.021959635416666665
143,4,0.01,0.04294915014927459,-0.0141796875
144,8,0.0001,0.4945626816167081,0.052128906250000016
145,8,0.00013593563908785255,0.4741050297137229,-0.006621093749999997
146,8,0.00018478497974222906,0.4529853499431355,-0.003274739583333327
147,8,0.00025118864315095795,0.4566547219692472,0.0013281250000000046
148,8,0.0003414548873833601,0.44602306101028977,0.0037044270833333512
149,8,0.00046415888336127773,0.42628323069311785,-0.01127604166666665
150,8,0.000630957344480193,0.4138723642666972,-0.04596354166666666
151,8,0.0008576958985908946,0.3839596373912582,-0.09699869791666667
152,8,0.0011659144011798312,0.34934754339577173,-0.030911458333333322
153,8,0.001584893192461114,0.29929765934881647,-0.043554687499999994
154,8,0.002154434690031882,0.2558031700818125,-0.004446614583333333
155,8,0.0029286445646252374,0.196360332441345,-0.013808593749999995
156,8,0.003981071705534973,0.13123121375854097,0.011048177083333338
157,8,0.0054116952654646375,0.09654838257532491,0.023177083333333334
158,8,0.007356422544596414,0.049487762392760405,-0.04166015625
159,8,0.01,0.020872036980558933,0.019368489583333336
160,16,0.0001,0.48197881817042293,0.005950520833333341
161,16,0.00013593563908785255,0.4630006817153985,0.0349609375
162,16,0.00018478497974222906,0.45373203992088285,-0.023437499999999993
163,16,0.00025118864315095795,0.4366182106580834,-0.054466145833333326
164,16,0.0003414548873833601,0.4123117951092067,0.011705729166666684
165,16,0.00046415888336127773,0.39610779469335966,-0.004856770833333333
166,16,0.000630957344480193,0.35848586217693534,-0.014563802083333327
167,16,0.0008576958985908946,0.3323651582201583,-0.03738932291666666
168,16,0.0011659144011798312,0.2838507654791571,-0.029615885416666664
169,16,0.001584893192461114,0.23567883914651758,-0.039427083333333335
170,16,0.002154434690031882,0.17848160022479304,-0.13291015625000002
171,16,0.0029286445646252374,0.11937678897080119,-0.0070768229166666636
172,16,0.003981071705534973,0.07239004489244706,0.05242838541666667
173,16,0.0054116952654646375,0.014150509803527308,0.03856770833333333
174,16,0.007356422544596414,0.02710204183990444,0.12380208333333334
175,16,0.01,0.003508791047426773,0.09688151041666666
176,32,0.0001,0.44826046365989997,-0.03326171875
177,32,0.00013593563908785255,0.4420560773564251,-0.012063802083333333
178,32,0.00018478497974222906,0.4453167627641606,-0.028860677083333328
179,32,0.00025118864315095795,0.39961349360394616,-0.009147135416666662
180,32,0.0003414548873833601,0.38232005709613764,-0.04677734375
181,32,0.00046415888336127773,0.3356160853928889,0.022460937500000003
182,32,0.000630957344480193,0.2934359474238832,-0.06845052083333333
183,32,0.0008576958985908946,0.23127217522807564,-0.03037109375
184,32,0.0011659144011798312,0.18442703556197065,-0.013391927083333328
185,32,0.001584893192461114,0.1455698265129944,-0.020670572916666664
186,32,0.002154434690031882,0.08232498904714478,0.054785156249999994
187,32,0.0029286445646252374,0.054964072315219624,0.056972656249999996
188,32,0.003981071705534973,0.014441005524442978,0.15829427083333333
189,32,0.0054116952654646375,0.012248782069039964,0.12507812499999998
190,32,0.007356422544596414,0.008811424009218432,0.12232421875
191,32,0.01,0.008583227887938777,0.12267578125
192,4,0.0001,0.4708751781643667,0.03330078125000001
193,4,0.00013593563908785255,0.480237342952117,0.022571614583333344
194,4,0.00018478497974222906,0.4753905632672319,0.006536458333333349
195,4,0.00025118864315095795,0.47914736917980755,-0.019342447916666658
196,4,0.0003414548873833601,0.4650931001580318,0.005937500000000007
197,4,0.00046415888336127773,0.45189573820901624,-0.023808593749999996
198,4,0.000630957344480193,0.4398876512374706,-0.05372395833333333
199,4,0.0008576958985908946,0.4104269037671561,-0.03574218749999999
200,4,0.0011659144011798312,0.3784423931793748,-0.013307291666666669
201,4,0.001584893192461114,0.3584327320386147,-0.0017773437500000029
202,4,0.002154434690031882,0.30976783508260863,0.002565104166666672
203,4,0.0029286445646252374,0.25735827594731947,-0.038359374999999994
204,4,0.003981071705534973,0.21339095025723787,-0.052832031249999994
205,4,0.0054116952654646375,0.1626557791981341,0.014915364583333337
206,4,0.007356422544596414,0.09862841382724119,-0.016510416666666666
207,4,0.01,0.05325054137289388,0.07088541666666667
208,8,0.0001,0.4925834144785878,-0.02765624999999998
209,8,0.00013593563908785255,0.4770079175383026,-0.006022135416666667
210,8,0.00018478497974222906,0.46697020475200685,-0.005605468749999996
211,8,0.00025118864315095795,0.45541059874987816,0.01134114583333333
212,8,0.0003414548873833601,0.45048157720974075,-0.003932291666666671
213,8,0.00046415888336127773,0.4396990341972969,-0.029830729166666656
214,8,0.000630957344480193,0.39291620193408305,-0.016575520833333336
215,8,0.0008576958985908946,0.37768524625385735,-0.001894531249999996
216,8,0.0011659144011798312,0.3500028445550191,-0.006386718750000004
217,8,0.001584893192461114,0.31878613253023114,0.014361979166666665
