mean,mean,mean,mean,std,std,std,std
4,8,16,32,4,8,16,32
0.4827942202306101,0.4759186654205557,0.4700891442961729,0.46098486521985715,0.013117136596864708,0.008763200321820671,0.005474892058399317,0.014232569336709317
0.48566610560274653,0.4783252705632546,0.4685964021084072,0.4413990762972352,0.00411388002120932,0.006674805692099931,0.009939941684564345,0.006946411466881918
0.47343414600748934,0.4686381084903215,0.45510625489988005,0.42729447562954753,0.01091798904012857,0.0036097920041428416,0.006676589535570642,0.008674277566836018
0.4674389479980693,0.45883323965441986,0.4373546499319753,0.4000336782049757,0.004319307474936536,0.010284010311191204,0.004707645842233135,0.007395579703331136
0.45554962860699144,0.44684903531847736,0.4232861555451835,0.37817252040999594,0.008829889730775808,0.00596539419335319,0.012455838603650465,0.005315537482211778
0.4507882246465631,0.4237820973445572,0.40003845075517186,0.331330729312267,0.009320525475028606,0.006258794558971069,0.002002925033211372,0.016410881815776355
0.42887589327771947,0.4079613423171635,0.36658475500535137,0.2856135444555232,0.009399405271766923,0.011680714308005985,0.004401111050735227,0.003962918008904079
0.41311185667978967,0.38223347079586717,0.328080485545412,0.24660571250234822,0.008771507454599956,0.005250205025753362,0.007914538748345554,0.016819749615344014
0.3835494776806835,0.34394091830694573,0.2735418018422438,0.18543579676608601,0.0032549581970478755,0.00210908051439342,0.006606807830237992,0.00690281866231606
0.34941505981193327,0.3056639670188228,0.22762615624550475,0.1333014610125122,0.004645369679238033,0.004940546051330044,0.008596186545349797,0.006802111224986926
0.3033333985980441,0.25164925841414215,0.17369763061851398,0.0788343817761192,0.0025919329023796536,0.0043217865301190305,0.01169122962448874,0.01315844556581019
0.25911564418479355,0.19405390954935633,0.11079619870741218,0.036392777216853356,0.006223088372550587,0.006460967951667426,0.008174269022113581,0.004495310791489883
0.20477174835644632,0.14135042791360636,0.06821233205694636,0.01906970375514943,0.013479886493897399,0.007391561397055427,0.005495008479268996,0.007169101855341891
0.14801266367972826,0.09416254579684813,0.04279484026919004,0.010557558438072778,0.010051656794747808,0.008931282859645093,0.013428240731241851,0.005734004332042022
0.09415368607755309,0.040307447168352856,0.019600199324790193,0.008093281554135615,0.004850518914293145,0.0018284300452784048,0.003246515962027327,0.005454636321004242
0.059623012485744926,0.017145713134695553,0.015929826544982675,0.008198089729823894,0.009174565722750563,0.009071330180869148,0.0028851133934343566,0.0020770202680932028
