Size,Error,Amp,Bias
4,0.0001,0.4786156690612285,0.0037434895833333413
4,0.00013593563908785255,0.4910193324264507,0.007760416666666666
4,0.00018478497974222906,0.4681631764955859,0.008932291666666682
4,0.00025118864315095795,0.4737542119367222,-0.011445312499999992
4,0.0003414548873833601,0.4557617820660216,-0.005729166666666663
4,0.00046415888336127773,0.45178971735733164,0.0444140625
4,0.000630957344480193,0.41713152213853405,-0.005488281249999989
4,0.0008576958985908946,0.4244855833116274,0.007005208333333338
4,0.0011659144011798312,0.3857040434686667,-0.021595052083333337
4,0.001584893192461114,0.35154459801335836,-0.030371093749999994
4,0.002154434690031882,0.29958120592908294,-0.023444010416666668
4,0.0029286445646252374,0.26156481067031484,-0.016451822916666664
4,0.003981071705534973,0.20944205547702976,-0.0005403645833333285
4,0.0054116952654646375,0.15538128401484008,0.0005924479166666691
4,0.007356422544596414,0.0926120013482415,-0.033216145833333335
4,0.01,0.06723108901474684,0.04345052083333334
8,0.0001,0.47464232885322,0.018964843750000005
8,0.00013593563908785255,0.47852810324189987,-0.004153645833333326
8,0.00018478497974222906,0.46530421933580685,-0.004335937499999987
8,0.00025118864315095795,0.4572181259652871,0.005989583333333339
8,0.0003414548873833601,0.45314041169864455,-0.008945312499999998
8,0.00046415888336127773,0.42499700568392773,-0.014401041666666666
8,0.000630957344480193,0.3921009822833061,-0.015117187499999993
8,0.0008576958985908946,0.3850020908171905,0.012265625
8,0.0011659144011798312,0.34129013929672525,0.003235677083333336
8,0.001584893192461114,0.3124603716493896,-0.022838541666666667
8,0.002154434690031882,0.24780846479797253,0.003079427083333343
8,0.0029286445646252374,0.1878165844865168,-0.026699218749999996
8,0.003981071705534973,0.14263160980491468,0.011132812499999997
8,0.0054116952654646375,0.08709971275140468,-0.005266927083333334
8,0.007356422544596414,0.04047723426190716,0.054342447916666675
8,0.01,0.006377005586479072,0.042740885416666666
16,0.0001,0.47430796853173157,-0.009928385416666654
16,0.00013593563908785255,0.4768246086303381,-0.023222656249999987
16,0.00018478497974222906,0.46295883189710296,-0.005703125
16,0.00025118864315095795,0.4401141945522259,-0.0015104166666666642
16,0.0003414548873833601,0.43267586035055955,0.011751302083333344
16,0.00046415888336127773,0.40165534691950194,0.04720052083333334
16,0.000630957344480193,0.3705722282040399,-0.011874999999999997
16,0.0008576958985908946,0.32890544211179334,-0.023463541666666664
16,0.0011659144011798312,0.2753844478098911,-0.013541666666666662
16,0.001584893192461114,0.229797626699446,-0.02755208333333333
16,0.002154434690031882,0.19047567405029273,-0.00927083333333334
16,0.0029286445646252374,0.10067873441478652,0.0036979166666666684
16,0.003981071705534973,0.06957575981742704,0.025123697916666667
16,0.0054116952654646375,0.049108630113029364,0.08464192708333333
16,0.007356422544596414,0.02347747571194839,0.10119791666666667
16,0.01,0.017666650158229186,0.11495442708333332
32,0.0001,0.4566251540248376,-0.014680989583333326
32,0.00013593563908785255,0.4417442126052576,-0.008190104166666663
32,0.00018478497974222906,0.4188552104902865,-0.04893229166666667
32,0.00025118864315095795,0.3987526961268494,0.003684895833333342
32,0.0003414548873833601,0.3758690805189463,-0.030481770833333338
32,0.00046415888336127773,0.3537243685960325,0.024433593750000003
32,0.000630957344480193,0.28822832242817625,0.004270833333333329
32,0.0008576958985908946,0.24862081378798664,-0.017207031249999998
32,0.0011659144011798312,0.17997217093237083,-0.01971354166666666
32,0.001584893192461114,0.14097387745220727,0.028502604166666667
32,0.002154434690031882,0.07119400038145364,-0.008958333333333332
32,0.0029286445646252374,0.03374040484981243,0.06925781249999999
32,0.003981071705534973,0.018573084900940975,0.10925781250000001
32,0.0054116952654646375,0.0054928023279854216,0.12173177083333334
32,0.007356422544596414,0.00488916934579664,0.15262369791666666
32,0.01,0.0112665775155086,0.1169140625
4,0.0001,0.4973998981041171,0.011777343750000006
4,0.00013593563908785255,0.4816423984381922,0.006542968750000016
4,0.00018478497974222906,0.4896728183577029,-0.019199218750000004
4,0.00025118864315095795,0.4652702794385568,-0.003919270833333337
4,0.0003414548873833601,0.4548172833407435,-0.020683593749999996
4,0.00046415888336127773,0.44977421475479734,-0.0032096354166666575
4,0.000630957344480193,0.42714959429119387,0.006490885416666667
4,0.0008576958985908946,0.4030876257903449,0.0028190104166666606
4,0.0011659144011798312,0.38572416812232463,0.008606770833333341
4,0.001584893192461114,0.3482573956850147,-0.017519531249999998
4,0.002154434690031882,0.3042399855148252,0.006790364583333335
4,0.0029286445646252374,0.2650487605933931,0.023066406250000004
4,0.003981071705534973,0.2097395518291346,-0.06569010416666667
4,0.0054116952654646375,0.13579827689981203,0.00408203125
4,0.007356422544596414,0.09573721301932965,-0.024765624999999996
4,0.01,0.06364916449227376,-0.0025130208333333324
8,0.0001,0.4829893688412241,0.005976562500000001
8,0.00013593563908785255,0.4868594394878194,-0.022949218749999993
8,0.00018478497974222906,0.46742979554820135,-0.02509114583333333
8,0.00025118864315095795,0.4630128151184329,-0.05826822916666667
8,0.0003414548873833601,0.438760662610452,-0.018196614583333322
8,0.00046415888336127773,0.4320440482846642,0.01225260416666666
8,0.000630957344480193,0.4165288504920914,0.0024088541666666763
8,0.0008576958985908946,0.37615244395046826,-0.038001302083333334
8,0.0011659144011798312,0.3433528680379493,-0.0016145833333333292
8,0.001584893192461114,0.30474998381662005,-0.014414062499999998
8,0.002154434690031882,0.2562992696572642,-0.0006380208333333249
8,0.0029286445646252374,0.2005239149487823,-0.029850260416666666
8,0.003981071705534973,0.14749605785978545,0.013906250000000002
8,0.0054116952654646375,0.09233911248249985,-0.006842447916666666
8,0.007356422544596414,0.041096916137371535,0.0131640625
8,0.01,0.021538460382647034,0.09388671875
16,0.0001,0.4620701235801332,-0.007721354166666658
16,0.00013593563908785255,0.45602136528123327,-0.009414062499999997
16,0.00018478497974222906,0.4565092966347032,-0.005143229166666654
16,0.00025118864315095795,0.43402651708103296,0.0063346354166666854
16,0.0003414548873833601,0.4352798590454452,0.0065755208333333395
16,0.00046415888336127773,0.39891829409967156,0.010221354166666665
16,0.000630957344480193,0.36581432538884606,-0.006230468750000001
16,0.0008576958985908946,0.33785532273771146,-0.022220052083333323
16,0.0011659144011798312,0.27316282538901543,0.014121093750000004
16,0.001584893192461114,0.23283385169044724,0.011673177083333337
16,0.002154434690031882,0.17282024890316625,-0.005826822916666667
16,0.0029286445646252374,0.11682070952910766,0.039179687500000004
16,0.003981071705534973,0.07486850212129663,0.045983072916666666
16,0.0054116952654646375,0.02572509632855189,0.09825520833333333
16,0.007356422544596414,0.019162332987926682,0.08986328125
16,0.01,0.014043644640445769,0.12534505208333335
32,0.0001,0.48160502830633145,-0.014433593749999998
32,0.00013593563908785255,0.45043921690897143,-0.022486979166666664
32,0.00018478497974222906,0.4389911910866999,-0.004687499999999998
32,0.00025118864315095795,0.4046588182449255,-0.017076822916666658
32,0.0003414548873833601,0.3782977592436694,-0.004186197916666668
32,0.00046415888336127773,0.3142632382328596,-0.04950520833333333
32,0.000630957344480193,0.2896575291841817,-0.026315104166666665
32,0.0008576958985908946,0.23433711799224183,0.06380208333333333
32,0.0011659144011798312,0.1868976583031399,-0.0006510416666666665
32,0.001584893192461114,0.13556813706979975,0.04645833333333334
32,0.002154434690031882,0.08710598145213196,-0.01753255208333333
32,0.0029286445646252374,0.035878413722788084,0.06436848958333333
32,0.003981071705534973,0.028014025226244205,0.1455078125
32,0.0054116952654646375,0.013840128422927383,0.17633463541666666
32,0.007356422544596414,0.015814111034269444,0.12561848958333333
32,0.01,0.007648722839511666,0.12682942708333333
4,0.0001,0.4883284291088909,0.022044270833333345
4,0.00013593563908785255,0.4865889474947271,-0.024602864583333328
4,0.00018478497974222906,0.4662204677222346,-0.010553385416666656
4,0.00025118864315095795,0.46418530234410343,0.030195312500000012
4,0.0003414548873833601,0.466607507142596,0.002981770833333337
4,0.00046415888336127773,0.4394237905725461,0.002278645833333354
