v,m,t
"[2.27922246e-07 7.87549150e-04 6.81355804e-04 6.41653535e-05
 7.25650674e-05 1.11067097e-03 1.26085773e-05 1.63271674e-04
 5.47210277e-03 3.02623928e-06 2.18141245e-05 1.23840830e-03
 4.94602540e-04 1.06142340e-03 3.75407939e-03 2.03236799e-04
 3.28651483e-05 7.42170709e-04 4.19226772e-04 4.12417410e-04
 3.34677186e-04 1.64725753e-04 1.57830936e-03 1.37680324e-05
 6.35926836e-04 1.79149804e-03 2.42204144e-03 5.66572874e-05
 1.01915686e-03 2.54496800e-03]","[-0.00101455  0.0586884  -0.05442366  0.01693323  0.01758467  0.06996708
 -0.00725504  0.02683143  0.1549576  -0.0038125  -0.0100337   0.07430822
 -0.04662417  0.06811365  0.12850532  0.02971273  0.01238596  0.05736796
  0.04327289 -0.04244919 -0.03819138  0.02730947 -0.08359171  0.00785357
 -0.0531024  -0.08867476  0.10297646 -0.01548592  0.06711949  0.10582268]",11
"[2.47802055e-07 8.42884842e-04 7.27365800e-04 6.93727836e-05
 7.68380264e-05 1.19292476e-03 1.32618179e-05 1.75384318e-04
 5.86577436e-03 3.45005306e-06 2.40383666e-05 1.33748978e-03
 5.30501391e-04 1.13574251e-03 4.02861241e-03 2.16838640e-04
 3.65246780e-05 7.99448823e-04 4.53134203e-04 4.41212119e-04
 3.57627732e-04 1.79392913e-04 1.69867283e-03 1.49029859e-05
 6.85024340e-04 1.92050790e-03 2.59362866e-03 5.98489365e-05
 1.09622976e-03 2.73157758e-03]","[-0.00106195  0.06077011 -0.05624928  0.01765839  0.01806196  0.07263269
 -0.00741233  0.02785576  0.16063712 -0.0041051  -0.01059314  0.07743512
 -0.04835275  0.07051821  0.1333204   0.03069547  0.01314441  0.05967478
  0.04511809 -0.04394177 -0.03950033  0.02861763 -0.08690073  0.00819633
 -0.05523909 -0.09192854  0.10667194 -0.01587594  0.06974908  0.10980267]",12
"[2.67491952e-07 8.95775359e-04 7.71040875e-04 7.44726865e-05
 8.07855246e-05 1.27228079e-03 1.38523468e-05 1.87069588e-04
 6.24378580e-03 3.89659004e-06 2.62958430e-05 1.43430704e-03
 5.65003463e-04 1.20673910e-03 4.29296468e-03 2.29710350e-04
 4.02903933e-05 8.55106286e-04 4.86313643e-04 4.68705178e-04
 3.79461612e-04 1.93983596e-04 1.81534846e-03 1.60169453e-05
 7.32744544e-04 2.04437415e-03 2.75793129e-03 6.27729014e-05
 1.17089606e-03 2.91139196e-03]","[-0.00110465  0.06252377 -0.05776219  0.01829955  0.01842737  0.07492376
 -0.00752148  0.02873612  0.16547004 -0.00438816 -0.01111429  0.08018885
 -0.04982676  0.0725413   0.13744225  0.03150408  0.01386244  0.06168552
  0.0467472  -0.04519606 -0.04059115  0.02980366 -0.0897719   0.00850052
 -0.05710237 -0.09469692  0.10979746 -0.01616517  0.07202775  0.11321442]",13
"[2.86981169e-07 9.46281902e-04 8.12451648e-04 7.94650058e-05
 8.44210666e-05 1.34879199e-03 1.43840699e-05 1.98334375e-04
 6.60650680e-03 4.36500958e-06 2.85846019e-05 1.52886048e-03
 5.98136670e-04 1.27449761e-03 4.54735171e-03 2.41871463e-04
 4.41602158e-05 9.09162727e-04 5.18761619e-04 4.94930298e-04
 4.00208437e-04 2.08492073e-04 1.92837919e-03 1.71097879e-05
 7.79105164e-04 2.16321188e-03 2.91513373e-03 6.54418477e-05
 1.24320001e-03 3.08456237e-03]","[-0.00114306  0.0639827  -0.05899462  0.01886481  0.01869257  0.07687776
 -0.00758801  0.0294868   0.16954242 -0.00466165 -0.01160027  0.08260532
 -0.05107171  0.07422171  0.1409409   0.03215607  0.01454326  0.06342946
  0.04818076 -0.04623633 -0.04148597  0.03087895 -0.09224828  0.00876985
 -0.05871934 -0.09702899  0.11241116 -0.01636433  0.07399083  0.11611565]",14
"[3.06259291e-07 9.94465471e-04 8.51667718e-04 8.43498528e-05
 8.77579126e-05 1.42251159e-03 1.48607280e-05 2.09185681e-04
 6.95430406e-03 4.85440033e-06 3.09026117e-05 1.62115165e-03
 6.29929211e-04 1.33910188e-03 4.79198791e-03 2.53341581e-04
 4.81318755e-05 9.61638135e-04 5.50475421e-04 5.19920973e-04
 4.19897687e-04 2.22912658e-04 2.03780916e-03 1.81814481e-05
 8.24124041e-04 2.27713586e-03 3.06541897e-03 6.78681542e-05
 1.31318585e-03 3.25123916e-03]","[-0.00117757  0.06517695 -0.05997561  0.0193615   0.01886808  0.07852848
 -0.00761693  0.03012067  0.17293178 -0.00492559 -0.01205389  0.08471685
 -0.05211058  0.07559438  0.14387942  0.03266723  0.01518971  0.06493298
  0.04943734 -0.04708444 -0.04220474  0.03185375 -0.09436866  0.00900765
 -0.06011445 -0.09896895  0.11456543 -0.01648309  0.07567017  0.11855835]",15
"[3.25316314e-07 1.04038680e-03 8.88757635e-04 8.91274967e-05
 9.08090708e-05 1.49349310e-03 1.52858986e-05 2.19630604e-04
 7.28754107e-03 5.36379037e-06 3.32477680e-05 1.71118318e-03
 6.60409513e-04 1.40063504e-03 5.02708647e-03 2.64140347e-04
 5.22029191e-05 1.01255282e-03 5.81453096e-04 5.43710452e-04
 4.38558674e-04 2.37239711e-04 2.14368367e-03 1.92319143e-05
 8.67819146e-04 2.38626049e-03 3.20896841e-03 7.00639052e-05
 1.38089776e-03 3.41157166e-03]","[-0.00120854  0.06613361 -0.06073131  0.01979624  0.01896338  0.07990637
 -0.00761272  0.03064933  0.17570799 -0.00517998 -0.01247767  0.08655259
 -0.05296414  0.07669082  0.14631463  0.03305183  0.01580436  0.06621985
  0.05053367 -0.04776011 -0.04276548  0.0327373  -0.09616801  0.00921697
 -0.0613097  -0.10055665  0.11630751 -0.0165302   0.07709447  0.12058937]",16
"[3.44142681e-07 1.08410630e-03 9.23788874e-04 9.37983555e-05
 9.35872910e-05 1.56179023e-03 1.56629979e-05 2.29676331e-04
 7.60657792e-03 5.89215700e-06 3.56179012e-05 1.79895889e-03
 6.89606186e-04 1.45917950e-03 5.25285918e-03 2.74287411e-04
 5.63707194e-05 1.06192740e-03 6.11693426e-04 5.66331707e-04
 4.56220525e-04 2.51467645e-04 2.24604903e-03 2.02612255e-05
 9.10208577e-04 2.49069964e-03 3.34596177e-03 7.20408837e-05
 1.44637987e-03 3.56570808e-03]","[-0.00123628  0.06687711 -0.06128531  0.02017504  0.01898701  0.0810389
 -0.00757943  0.03108326  0.17793396 -0.00542487 -0.01287386  0.0881388
 -0.0536511   0.07753941  0.14829772  0.03332275  0.01638953  0.0673115
  0.05148487 -0.04828111 -0.0431844   0.03353792 -0.09767785  0.00940055
 -0.06232489 -0.10182802  0.11767996 -0.01651352  0.07828958  0.12225094]",17
"[3.62729341e-07 1.12568397e-03 9.56827812e-04 9.83629859e-05
 9.61050578e-05 1.62745680e-03 1.59952828e-05 2.39330123e-04
 7.91177108e-03 6.43843605e-06 3.80107837e-05 1.88448372e-03
 7.17547965e-04 1.51481686e-03 5.46951633e-03 2.83802402e-04
 6.06324839e-05 1.10978275e-03 6.41195910e-04 5.87817411e-04
 4.72912150e-04 2.65590931e-04 2.34495262e-03 2.12694677e-05
 9.51310557e-04 2.59056659e-03 3.47657697e-03 7.38105642e-05
 1.50967618e-03 3.71379542e-03]","[-0.00126107  0.06742948 -0.06165884  0.0205033   0.01894671  0.0819508
 -0.00752071  0.03143189  0.17966642 -0.00566033 -0.0132445   0.08949912
 -0.05418835  0.07816575  0.14987483  0.0334916   0.01694727  0.06822722
  0.05230459 -0.04866347 -0.04347615  0.0342631  -0.0989266   0.00956088
 -0.06317788 -0.10281544  0.11872113 -0.01644017  0.07927879  0.12358108]",18
"[3.81067782e-07 1.16517936e-03 9.87939704e-04 1.02822075e-04
 9.83745850e-05 1.69054673e-03 1.62858541e-05 2.48599306e-04
 8.20347326e-03 7.00153076e-06 4.04241375e-05 1.96776376e-03
 7.44263669e-04 1.56762789e-03 5.67726660e-03 2.92704900e-04
 6.49852647e-05 1.15613998e-03 6.69960747e-04 6.08199909e-04
 4.88662217e-04 2.79604108e-04 2.44044274e-03 2.22567712e-05
 9.91143430e-04 2.68597391e-03 3.60099001e-03 7.53841079e-05
 1.57083052e-03 3.85597935e-03]","[-0.00128317  0.06781059 -0.06187106  0.02078593  0.01884942  0.08266439
 -0.00743985  0.03170374  0.18095646 -0.00588643 -0.01359142  0.09065489
 -0.05459113  0.07859291  0.15108752  0.03356888  0.01747945  0.06898441
  0.05300513 -0.04892164 -0.04365393  0.03491957 -0.09993989  0.00970024
 -0.06388476 -0.10354812  0.11946562 -0.01631657  0.0800831   0.12461408]",19
"[3.99150081e-07 1.20265147e-03 1.01718866e-03 1.07176430e-04
 1.00407810e-04 1.75111396e-03 1.65376587e-05 2.57491260e-04
 8.48203318e-03 7.58032009e-06 4.28556422e-05 2.04880627e-03
 7.69782149e-04 1.61769247e-03 5.87631689e-03 3.01014403e-04
 6.94259688e-05 1.20102041e-03 6.97988814e-04 6.27511193e-04
 5.03499128e-04 2.93501787e-04 2.53256857e-03 2.32233072e-05
 1.02972566e-03 2.77703341e-03 3.71937481e-03 7.67723573e-05
 1.62988655e-03 3.99240412e-03]","[-0.00130282  0.06803837 -0.06193922  0.02102738  0.01870142  0.08319981
 -0.00733981  0.03190649  0.18185014 -0.00610327 -0.01391624  0.09162535
 -0.05487319  0.0788417   0.15197323  0.03356409  0.01798773  0.06959875
  0.05359764 -0.04906865 -0.04372965  0.0355134  -0.10074082  0.00982067
 -0.06446003 -0.10405237  0.11994463 -0.0161485   0.08072143  0.12538085]",20
"[4.16968941e-07 1.23815877e-03 1.04463761e-03 1.11426970e-04
 1.02216390e-04 1.80921240e-03 1.67534935e-05 2.66013409e-04
 8.74779544e-03 8.17366667e-06 4.53029423e-05 2.12761966e-03
 7.94132249e-04 1.66508952e-03 6.06687222e-03 3.08750308e-04
 7.39513674e-05 1.24444555e-03 7.25281645e-04 6.45782876e-04
 5.17450992e-04 3.07278656e-04 2.62138015e-03 2.41692845e-05
 1.06707581e-03 2.86385601e-03 3.83190319e-03 7.79858321e-05
 1.68688768e-03 4.12321244e-03]","[-0.00132022  0.06812901 -0.06187888  0.02123165  0.01850838  0.08357521
 -0.00722325  0.03204707  0.18238898 -0.00631096 -0.01422046  0.09242782
 -0.05504696  0.07893086  0.15256573  0.0334858   0.01847361  0.07008436
  0.05409216 -0.04911626 -0.04371408  0.03605008 -0.10135024  0.00992406
 -0.06491673 -0.10435194  0.12018627 -0.0159412   0.08121083  0.12590922]",21
"[4.34517727e-07 1.27175906e-03 1.07034832e-03 1.15574720e-04
 1.03811696e-04 1.86489585e-03 1.69360084e-05 2.74173210e-04
 9.00110032e-03 8.78042413e-06 4.77636553e-05 2.20421350e-03
 8.17342755e-04 1.70989701e-03 6.24913564e-03 3.15931876e-04
 7.85581068e-05 1.28643705e-03 7.51841413e-04 6.63046173e-04
 5.30545607e-04 3.20929488e-04 2.70692826e-03 2.50949466e-05
 1.10321256e-03 2.94655166e-03 3.93874468e-03 7.90347259e-05
 1.74187707e-03 4.24854545e-03]","[-0.00133557  0.06809711 -0.06170407  0.02140239  0.0182754   0.08380696
 -0.00709258  0.03213173  0.18261039 -0.00650962 -0.01450538  0.09307797
 -0.05512365  0.07887731  0.15289544  0.03334176  0.01893845  0.070454
  0.05449781 -0.04907507 -0.04361691  0.03653453 -0.10178697  0.0100121
 -0.06526666 -0.10446825  0.1202159  -0.01569939  0.08156667  0.12622431]",22
