,num_params,num_iter,mse
0,27.0,25.0,0.05206228151701131
1,48.0,35.0,0.048079182040511155
2,33.0,63.0,0.02336633522073637
3,27.0,30.0,0.03608853553976407
4,9.0,32.0,0.024609157797496624
5,24.0,20.0,0.06444018612427642
6,39.0,22.0,0.034986892159717384
7,12.0,54.0,0.04779709899542123
8,36.0,26.0,0.026739260640420162
9,36.0,30.0,0.06099774037278526
10,9.0,16.0,0.05536183264289528
11,36.0,32.0,0.03337556590403972
12,6.0,29.0,0.0254776841920995
13,18.0,42.0,0.029907953672284073
14,30.0,28.0,0.040859948877884744
15,36.0,33.0,0.05074347362435385
16,45.0,79.0,0.036742374815984566
17,42.0,37.0,0.04632860336124361
18,30.0,43.0,0.04293247851081521
19,12.0,24.0,0.04188828144508167
20,36.0,81.0,0.024277007681674935
21,9.0,38.0,0.02602162342056713
22,36.0,28.0,0.044195343054480876
23,9.0,16.0,0.02795257593581316
24,6.0,22.0,0.03580561512616895
25,24.0,30.0,0.03152097990671903
26,18.0,41.0,0.03998947637983747
27,24.0,50.0,0.03477475661170379
28,45.0,38.0,0.01956164838940589
29,6.0,55.0,0.02572660591395638
30,18.0,49.0,0.023489681316690113
31,48.0,26.0,0.04401838553457608
32,12.0,24.0,0.03543978962772942
33,15.0,27.0,0.018318338388943072
34,42.0,21.0,0.06586598584791085
35,39.0,32.0,0.056849372218153546
36,42.0,37.0,0.021824977311208502
37,30.0,36.0,0.037879285277079545
38,33.0,20.0,0.037488587552953416
39,18.0,28.0,0.06252720525815016
40,21.0,16.0,0.05223563648856902
41,48.0,24.0,0.06316606573010908
42,15.0,27.0,0.04102031111674201
43,21.0,49.0,0.030868562697234717
44,24.0,38.0,0.029549567468916106
45,18.0,23.0,0.030991100247290494
46,48.0,30.0,0.10516368915349958
47,30.0,21.0,0.050844136250011975
48,12.0,19.0,0.05919363164536514
49,48.0,34.0,0.04564628228066895
50,18.0,17.0,0.06636776995722744
51,3.0,17.0,0.02363531604969679
52,39.0,24.0,0.04424940110583657
53,21.0,40.0,0.04404807100752704
54,33.0,28.0,0.03533756900886122
55,3.0,17.0,0.025750828926190742
56,24.0,26.0,0.03024129607069418
57,48.0,61.0,0.033788737333294336
58,27.0,27.0,0.024068631245977162
59,9.0,18.0,0.032355039311884194
60,18.0,18.0,0.08113283264559985
61,36.0,17.0,0.02341079025810308
62,21.0,43.0,0.029791845171586052
63,18.0,42.0,0.05991655697788628
64,9.0,18.0,0.04584780548977655
65,3.0,16.0,0.022829811141802624
66,12.0,25.0,0.048720090801217704
67,15.0,45.0,0.04525869352279734
68,42.0,40.0,0.09092654482473111
69,9.0,26.0,0.028400697295138243
70,36.0,37.0,0.02767603162113946
71,36.0,30.0,0.019214184532665473
72,6.0,39.0,0.04498000618099
73,48.0,25.0,0.06970787688584325
74,24.0,24.0,0.04781251192965574
75,39.0,23.0,0.03727864400267261
76,21.0,19.0,0.04748899345379291
77,48.0,60.0,0.033914382312627896
78,21.0,31.0,0.05160329438233354
79,6.0,34.0,0.02614780075630207
80,33.0,25.0,0.07492312064927827
81,6.0,46.0,0.023795464335613744
82,15.0,47.0,0.04670615613838806
83,6.0,16.0,0.022405866965514307
84,27.0,20.0,0.04012038341141241
85,21.0,18.0,0.04264503635134181
86,12.0,24.0,0.029873509329255886
87,15.0,31.0,0.05797685726480589
88,39.0,31.0,0.01604324653734808
89,42.0,36.0,0.06687589431942172
90,42.0,22.0,0.07997456825121413
91,12.0,44.0,0.020872601621990484
92,3.0,17.0,0.024058581610848263
93,15.0,20.0,0.03327728729174379
94,24.0,34.0,0.04055905338703691
95,39.0,56.0,0.03943629282953136
96,30.0,46.0,0.03757059682351345
97,15.0,22.0,0.05819551470721394
98,3.0,22.0,0.02131398255930206
99,33.0,17.0,0.08734620121636347
100,45.0,26.0,0.044902054126334086
101,48.0,49.0,0.03434264838681927
102,15.0,16.0,0.03852325427850681
103,24.0,19.0,0.06561383461068589
104,48.0,46.0,0.034092914997051554
105,3.0,18.0,0.029160409899280714
106,30.0,18.0,0.03497651083976934
107,6.0,33.0,0.025165814034404214
108,6.0,18.0,0.03270206188021493
109,15.0,25.0,0.038573742426995836
110,21.0,45.0,0.041631357913821686
111,9.0,18.0,0.039291689129946704
112,12.0,43.0,0.02363178925113074
113,9.0,16.0,0.05316265524541125
114,15.0,16.0,0.04346789969165338
115,21.0,18.0,0.03993698081113076
116,45.0,28.0,0.057480603085079
117,12.0,28.0,0.02891027149888103
118,18.0,32.0,0.04249646400412647
119,36.0,26.0,0.039315101828575796
120,39.0,23.0,0.13018222227911508
121,39.0,16.0,0.08438767203732185
122,3.0,16.0,0.024090601360589183
123,30.0,31.0,0.02568464532407177
124,33.0,16.0,0.06831400081066004
125,36.0,23.0,0.04982120341424809
126,9.0,33.0,0.021582490124637973
127,36.0,18.0,0.05045297788156994
128,45.0,30.0,0.033852783602511725
129,39.0,33.0,0.05235997122199269
130,39.0,24.0,0.06456160191519743
131,3.0,32.0,0.024017220346333534
132,6.0,26.0,0.027816405091550263
133,9.0,24.0,0.05006467698604445
134,3.0,21.0,0.025394355073753122
135,30.0,22.0,0.043141258493391094
136,30.0,31.0,0.0380271783097881
137,45.0,18.0,0.07280500055694449
138,24.0,16.0,0.1102526245949331
139,12.0,20.0,0.022692437548167212
140,30.0,24.0,0.05537200041507733
141,48.0,38.0,0.038561401556149795
142,45.0,16.0,0.05091833910973763
143,45.0,34.0,0.02448378917734624
144,45.0,31.0,0.02808057701033044
145,39.0,18.0,0.061966619671009464
146,39.0,25.0,0.04895942070857152
147,3.0,16.0,0.024711403191518832
148,27.0,47.0,0.021614934468174102
149,24.0,101.0,0.014125828600047045
150,6.0,47.0,0.021965447930540085
151,30.0,19.0,0.07478290807132909
152,3.0,16.0,0.026019687214289166
153,12.0,28.0,0.052678697665993895
154,6.0,18.0,0.022896601222249055
155,48.0,33.0,0.04595323924051825
156,15.0,34.0,0.021192656816680044
157,24.0,37.0,0.027965075442197097
158,6.0,19.0,0.031537746710283095
159,39.0,56.0,0.056869818862390516
160,30.0,43.0,0.022183228126714468
161,6.0,55.0,0.023087591530841754
162,48.0,45.0,0.040710329890286175
163,33.0,75.0,0.03168853117673518
164,30.0,20.0,0.07074100729825177
165,42.0,19.0,0.061909212312081026
166,27.0,35.0,0.038649727677838315
167,24.0,28.0,0.040746343301007834
168,3.0,16.0,0.02968027682331487
169,33.0,16.0,0.07971221122415513
170,6.0,29.0,0.01851023568334303
171,9.0,16.0,0.04801431031952858
172,45.0,35.0,0.026744164120603885
173,21.0,18.0,0.0593302405009868
174,42.0,44.0,0.04539481304426207
175,15.0,58.0,0.020439031054648796
176,42.0,27.0,0.0297968932895052
177,45.0,44.0,0.03849205350283263
178,18.0,20.0,0.052134122323840786
179,36.0,101.0,0.03224626737507961
180,30.0,27.0,0.021429399908984733
181,33.0,41.0,0.025364891029163242
182,9.0,41.0,0.031315343338501805
183,3.0,16.0,0.025264537839600736
184,45.0,26.0,0.03746566591418161
185,15.0,49.0,0.02260866102650627
186,42.0,46.0,0.029502438731081722
187,15.0,23.0,0.03735753947114665
