,num_params,num_iter,mse
0,48.0,35.0,0.009836714702113697
1,36.0,23.0,0.004694758820183851
2,21.0,38.0,0.0011382605835326663
3,33.0,35.0,0.002689651012250225
4,36.0,59.0,0.0011368648677573744
5,45.0,26.0,0.0025384609193551716
6,15.0,51.0,0.0008810343961592273
7,45.0,45.0,0.003119858852490086
8,51.0,36.0,0.002979824101766831
9,51.0,50.0,0.0027047758194880954
10,30.0,17.0,0.0009722821882812249
11,30.0,38.0,0.0014427729150102864
12,27.0,39.0,0.002157107967906407
13,21.0,25.0,0.0009443162808112455
14,6.0,26.0,0.0017382874770970353
15,39.0,20.0,0.0074524876580906235
16,27.0,36.0,0.003977293981708472
17,36.0,28.0,0.006474720369734898
18,18.0,30.0,0.0022793529051970936
19,30.0,66.0,0.0008222860794723394
20,51.0,48.0,0.004779885166571848
21,30.0,22.0,0.000997147698939254
22,42.0,19.0,0.005723327988264571
23,9.0,18.0,0.0009492169309787853
24,51.0,55.0,0.002821325278326407
25,9.0,21.0,0.003988879200158577
26,30.0,32.0,0.0013426908009156208
27,36.0,27.0,0.0031249155455705113
28,18.0,40.0,0.003313840643345133
29,18.0,19.0,0.014273810838405343
30,18.0,93.0,0.0012741479945973008
31,24.0,21.0,0.002681008025103587
32,33.0,47.0,0.0007743807041315886
33,39.0,63.0,0.0025625562261540457
34,48.0,68.0,0.001635836806273036
35,42.0,28.0,0.0019801109983905284
36,15.0,44.0,0.0015963286851208936
37,18.0,30.0,0.0019650395363011953
38,27.0,37.0,0.0020038455880915683
39,48.0,36.0,0.003531822022138099
40,39.0,56.0,0.0009116904899242456
41,30.0,46.0,0.002672820555271057
42,33.0,24.0,0.004910936587654705
43,9.0,51.0,0.0035792005847043416
44,27.0,21.0,0.004203897753736963
45,12.0,29.0,0.0016950772513266161
46,33.0,21.0,0.005729982078989003
47,48.0,79.0,0.0020418268919661503
48,39.0,63.0,0.0034103421419908013
49,12.0,19.0,0.003187089438802168
50,48.0,23.0,0.003914339617342104
51,21.0,49.0,0.0019742622072054946
52,24.0,35.0,0.0017039239673867228
53,33.0,43.0,0.0026884085757335474
54,24.0,29.0,0.001982514024863498
55,45.0,42.0,0.00223457912052395
56,21.0,37.0,0.002802031470479892
57,45.0,30.0,0.0037022773146754497
58,27.0,30.0,0.0012858096612456081
59,39.0,33.0,0.0033256376088894326
60,18.0,23.0,0.0022038961959067876
61,36.0,17.0,0.0020827911263278116
62,48.0,26.0,0.017685035826090646
63,9.0,57.0,0.001657451102863049
64,27.0,36.0,0.0008601632778417224
65,42.0,33.0,0.00432398706597167
66,9.0,58.0,0.0006622146597530403
67,33.0,109.0,0.0009644813052138335
68,27.0,37.0,0.0012378127715099363
69,18.0,16.0,0.00568320552552146
70,39.0,33.0,0.0009270236934561383
71,15.0,20.0,0.006433526958378527
72,21.0,24.0,0.0031191527964947053
73,18.0,25.0,0.0003119647678407562
74,51.0,48.0,0.0019034709503464864
75,42.0,33.0,0.0014954286594793752
76,6.0,21.0,0.007448938051352714
77,51.0,57.0,0.0010760197495105629
78,39.0,34.0,0.007245431391346856
79,6.0,16.0,0.003972180904436748
80,33.0,60.0,0.0005218737761836761
81,18.0,32.0,0.0024422692261531096
82,18.0,130.0,0.000282110174468934
83,24.0,34.0,0.002355657797116038
84,45.0,35.0,0.0013104514552903222
85,27.0,38.0,0.0015708398811717513
86,39.0,26.0,0.0016686642213683278
87,48.0,67.0,0.002342749159016724
88,45.0,42.0,0.0010606316905486433
89,51.0,46.0,0.004422567891429724
90,42.0,26.0,0.005075330860018268
91,33.0,21.0,0.005462724686889766
92,21.0,34.0,0.0012739093027084542
93,15.0,35.0,0.003161165274171438
94,27.0,34.0,0.0010711069557034424
95,12.0,44.0,0.002489143130719499
96,27.0,21.0,0.00727523190072553
97,42.0,28.0,0.0058101699098042576
98,51.0,39.0,0.003279380630353726
99,18.0,45.0,0.0003981865216526532
100,21.0,33.0,0.0022939409762519347
101,21.0,85.0,0.0003144846676861588
102,27.0,57.0,0.003222577934238615
103,15.0,30.0,0.00043428652286531385
104,15.0,32.0,0.0007297460534688703
105,33.0,21.0,0.006393148654900211
106,48.0,35.0,0.00407982071781996
107,42.0,18.0,0.009275327868705384
108,36.0,65.0,0.0034295719267531995
109,36.0,55.0,0.0006232210398605274
110,39.0,23.0,0.001886355723866329
111,6.0,116.0,0.0006889447141290492
112,24.0,30.0,0.002737401990106183
113,51.0,76.0,0.00131218729529438
114,45.0,44.0,0.0020684359766839607
115,9.0,55.0,0.0006152215265446544
116,51.0,21.0,0.005235234547225411
117,48.0,33.0,0.0013958626905833213
118,24.0,32.0,0.001970469086396166
119,30.0,20.0,0.00633632222794769
120,21.0,23.0,0.002933988757329069
121,9.0,19.0,0.004998350112288205
122,24.0,37.0,0.003418894628007735
123,15.0,34.0,0.0015048737239261182
124,12.0,24.0,0.004041342512964237
125,51.0,33.0,0.0013531698568126777
126,30.0,28.0,0.0012137231584116893
127,24.0,38.0,0.0008134177896676213
128,15.0,32.0,0.0010451223757055343
129,6.0,84.0,0.0005281794009902489
130,36.0,22.0,0.004541372530263424
131,39.0,33.0,0.001655826334585363
132,42.0,22.0,0.007676463289387076
133,42.0,89.0,0.00042485726277540306
134,36.0,16.0,0.004832992026768471
135,6.0,17.0,0.00089080247163602
136,48.0,78.0,0.0006700799109978562
137,27.0,19.0,0.004630644887429508
138,9.0,34.0,0.0012196866322574905
139,9.0,33.0,0.0019803033322054785
140,36.0,69.0,0.0033382425133806
141,42.0,23.0,0.004116332953530264
142,12.0,52.0,0.0007926317722260419
143,12.0,85.0,0.00027167446225672917
144,15.0,32.0,0.0004417361690402941
145,48.0,25.0,0.0002126566974315572
146,21.0,35.0,0.0022972915241807517
147,27.0,18.0,0.0041980591141442605
148,24.0,40.0,0.00102280261200046
149,6.0,24.0,0.0010183295966820047
150,39.0,37.0,0.0011490810408608288
151,33.0,26.0,0.0073565280289930625
152,42.0,44.0,0.003338562019647633
153,21.0,19.0,0.0022969249320659883
154,21.0,68.0,0.000353081116601898
155,33.0,38.0,0.0017177167826086873
156,24.0,45.0,0.0008887516405413555
157,9.0,25.0,0.0017875121457046443
158,51.0,28.0,0.0005399390943934104
159,12.0,41.0,0.0014675330248252881
160,6.0,27.0,0.0007879187268565526
161,30.0,29.0,0.0013157336422262502
162,33.0,30.0,0.0046148414813261705
163,45.0,71.0,0.0004215699280075952
164,12.0,20.0,0.00219614334356913
165,48.0,43.0,0.0037501360137043123
166,42.0,40.0,0.001607762245633525
167,36.0,33.0,0.0013549957216513909
168,30.0,22.0,0.002705642133828221
169,12.0,34.0,0.003096970612330625
170,39.0,50.0,0.0065015753565992075
171,24.0,33.0,0.0009090974924601907
172,6.0,25.0,0.003135238462677982
173,39.0,65.0,0.0010456572065007182
174,51.0,37.0,0.002877613305429846
175,24.0,41.0,0.0020777234376387526
176,45.0,49.0,0.0023551134353645155
177,9.0,24.0,0.0009866921766451963
178,45.0,24.0,0.007081059211618673
179,36.0,28.0,0.005989684573321832
180,15.0,65.0,0.002830856862441104
181,21.0,17.0,0.006695618327269709
182,42.0,28.0,0.004486348174197923
183,9.0,30.0,0.0033631948166631125
184,15.0,58.0,0.00032981575556425516
185,18.0,23.0,0.0015119674531895902
186,51.0,35.0,0.0006072429546230642
187,45.0,24.0,0.007533152188290357
188,45.0,31.0,0.0018557634650568572
189,51.0,32.0,0.00499756118501955
190,6.0,33.0,0.008392793805729225
191,30.0,25.0,0.0010975513971367653
192,15.0,20.0,0.004613447875863308
193,12.0,17.0,0.0017604344506158744
194,15.0,18.0,0.007549363713222747
195,30.0,16.0,0.0019745155699795987
196,6.0,55.0,0.007271081033412508
197,33.0,22.0,0.0015765614954944302
198,36.0,50.0,0.0022633732821696582
199,9.0,23.0,0.007472978709895021
200,39.0,41.0,0.0035502414646339346
201,15.0,28.0,0.002017130654318548
202,15.0,36.0,0.0012878318441810752
203,33.0,27.0,0.0036097387354646912
204,45.0,59.0,0.004735308223442161
205,39.0,39.0,0.0008112096468032928
206,30.0,48.0,0.00056210304592571
207,9.0,48.0,0.0016227306658823126
208,18.0,34.0,0.0013698947850370776
209,42.0,41.0,0.0016808910173348967
210,9.0,47.0,0.0027361235885317455
211,12.0,37.0,0.0009387691375959514
212,12.0,38.0,0.003147894922862855
213,21.0,41.0,0.0019196979642132714
214,24.0,16.0,0.007405261420395141
215,39.0,60.0,0.0018981659017526676
216,36.0,22.0,0.007536926911254739
217,21.0,29.0,0.004425646373661528
218,27.0,35.0,0.0007199619467546068
219,48.0,34.0,0.0036630166807354522
220,6.0,27.0,0.0010372783620956995
221,48.0,48.0,0.0018485309513737716
222,9.0,42.0,0.0012431677068245614
223,18.0,30.0,0.0012981580762107046
224,18.0,26.0,0.000734135348014001
225,12.0,28.0,0.002881417099361999
226,6.0,21.0,0.0026231176295082046
227,51.0,144.0,0.0007571444701292313
228,12.0,54.0,0.002763142663538628
229,12.0,36.0,0.0012764770479969248
230,42.0,24.0,0.008635997938416216
231,12.0,26.0,0.0030384534370958807
232,21.0,31.0,0.0011133808366736832
233,30.0,16.0,0.007988453469806754
234,42.0,25.0,0.002356425626396704
235,18.0,27.0,0.0016351281664942876
236,48.0,60.0,0.003615755376188378
237,15.0,42.0,0.0022449547215676333
238,27.0,71.0,0.002955553803586513
239,48.0,32.0,0.0013177160962711872
240,45.0,17.0,0.0112805497891756
241,45.0,48.0,0.0011693208368796933
242,27.0,47.0,0.0016632529315804233
243,6.0,28.0,0.002054357909106887
244,24.0,44.0,0.001225229040908667
245,30.0,18.0,0.0015329261543711042
246,24.0,37.0,0.0014581463347333712
247,6.0,54.0,0.007631642120898686
248,24.0,29.0,0.0038327877307431477
249,36.0,33.0,0.001712724980855583
250,30.0,77.0,0.0003725414863629614
251,36.0,49.0,0.0050154908550326775
252,33.0,31.0,0.002023608361979448
253,6.0,30.0,0.0007412074870526004
254,45.0,57.0,0.000690423809723628
255,33.0,30.0,0.002351623892537809
