,num_params,num_iter,mse
0,3.0,18.0,0.0008503295054940687
1,6.0,34.0,0.0005005407077131081
2,9.0,24.0,0.002506471881716969
3,12.0,44.0,0.0009858832559814573
4,15.0,49.0,0.0005111515534114636
5,18.0,28.0,0.003909651397394841
6,21.0,26.0,0.002030077592035497
7,24.0,37.0,0.0007820454444877752
8,27.0,20.0,0.0016096451650787357
9,30.0,31.0,0.001532177201128802
10,33.0,19.0,0.0026547301421020447
11,36.0,37.0,0.0007659627262943112
12,39.0,31.0,0.0018655970545748085
13,42.0,27.0,0.00088785484970616
14,45.0,26.0,0.0014036761223930696
15,48.0,35.0,0.0023116077456846107
16,3.0,21.0,0.0006448732696118509
17,6.0,41.0,0.0005711671935790955
18,9.0,21.0,0.0009018017488966912
19,12.0,31.0,0.0017355450080742557
20,15.0,20.0,0.0006949915064669406
21,18.0,18.0,0.002260732959861549
22,21.0,18.0,0.001594962436308626
23,24.0,30.0,0.000993572174279785
24,27.0,20.0,0.00771436388078005
25,30.0,22.0,0.0018611681843935892
26,33.0,29.0,0.0015451941011264732
27,36.0,23.0,0.0024821523096438852
28,39.0,44.0,0.0016492266111721727
29,42.0,42.0,0.0014070276173040108
30,45.0,20.0,0.005729857721754925
31,48.0,25.0,0.004859188099931879
32,3.0,17.0,0.0006631051903859418
33,6.0,22.0,0.00043640971553540633
34,9.0,18.0,0.0021020212682283847
35,12.0,28.0,0.002775045187785191
36,15.0,20.0,0.0036222593700403474
37,18.0,19.0,0.0007220203082491141
38,21.0,28.0,0.001029289709534486
39,24.0,19.0,0.004305175292318442
40,27.0,18.0,0.002961202426729071
41,30.0,42.0,0.0004384235550291515
42,33.0,28.0,0.0021292504628089163
43,36.0,17.0,0.002799788157649514
44,39.0,36.0,0.0005225111503460423
45,42.0,41.0,0.001769479807712502
46,45.0,18.0,0.002207507019243273
47,48.0,26.0,0.006329899860288792
48,3.0,16.0,0.000684708483469124
49,6.0,17.0,0.0012487236889514152
50,9.0,26.0,0.0008065996068500727
51,12.0,29.0,0.0014474496571437014
52,15.0,18.0,0.0012211619417100495
53,18.0,18.0,0.006582536533098914
54,21.0,31.0,0.002662899991109776
55,24.0,50.0,0.0012092836974032363
56,27.0,25.0,0.0010193332258454642
57,30.0,17.0,0.002561875495953866
58,33.0,38.0,0.0006380311965218154
59,36.0,38.0,0.0006167330418121576
60,39.0,44.0,0.002275791346443106
61,42.0,22.0,0.001269540797700182
62,45.0,38.0,0.000382658087710746
63,48.0,43.0,0.0014835339230657425
64,3.0,16.0,0.0005803570739148214
65,6.0,18.0,0.000524254347530697
66,9.0,20.0,0.0009033407408293176
67,12.0,22.0,0.0005904683508084012
68,15.0,47.0,0.0021814650212234844
69,18.0,16.0,0.0015624304502155598
70,21.0,32.0,0.0015554732127864913
71,24.0,20.0,0.0019654257781854803
72,27.0,35.0,0.0014938014495710613
73,30.0,31.0,0.0006597010054233618
74,33.0,17.0,0.02228171917761182
75,36.0,33.0,0.0011251803459654513
76,39.0,33.0,0.002741566586367903
77,42.0,19.0,0.002496858559087529
78,45.0,24.0,0.002870322700677728
79,48.0,30.0,0.011059401516373885
80,3.0,16.0,0.0007375031355793308
81,6.0,39.0,0.0020232009560418986
82,9.0,39.0,0.00031979041107177533
83,12.0,24.0,0.0008924265596451385
84,15.0,26.0,0.0017491967545897676
85,18.0,23.0,0.0009604482945376089
86,21.0,19.0,0.0016669483442076829
87,24.0,26.0,0.0009145359880353833
88,27.0,16.0,0.007255435045141522
89,30.0,18.0,0.0012233563105245023
