,layer,expr,ent,acc
0,1.0,0.9776340306429714,0.9999999999999999,0.96875
1,1.0,0.9776340306429714,0.9999999999999999,0.90625
2,1.0,0.9776340306429714,0.9999999999999999,0.9375
3,1.0,0.9776340306429714,0.9999999999999999,0.96875
4,1.0,0.9776340306429714,0.9999999999999999,1.0
5,1.0,0.9776340306429714,0.9999999999999999,0.90625
6,1.0,0.9776340306429714,0.9999999999999999,1.0
7,1.0,0.9776340306429714,0.9999999999999999,0.875
8,1.0,0.9776340306429714,0.9999999999999999,1.0
9,1.0,0.9776340306429714,0.9999999999999999,0.96875
10,1.0,0.9776340306429714,0.9999999999999999,0.9375
11,1.0,0.9776340306429714,0.9999999999999999,0.96875
12,1.0,0.9776340306429714,0.9999999999999999,1.0
13,1.0,0.9776340306429714,0.9999999999999999,0.96875
14,1.0,0.9776340306429714,0.9999999999999999,0.9375
15,2.0,0.18089137770138528,0.9999999999999998,0.9375
16,1.0,0.9776340306429714,0.9999999999999999,0.96875
17,2.0,0.18089137770138528,0.9999999999999998,0.96875
18,2.0,0.18089137770138528,0.9999999999999998,0.84375
19,2.0,0.18089137770138528,0.9999999999999998,1.0
20,2.0,0.18089137770138528,0.9999999999999998,0.9375
21,2.0,0.18089137770138528,0.9999999999999998,1.0
22,2.0,0.18089137770138528,0.9999999999999998,1.0
23,2.0,0.18089137770138528,0.9999999999999998,1.0
24,2.0,0.18089137770138528,0.9999999999999998,1.0
25,2.0,0.18089137770138528,0.9999999999999998,0.90625
26,2.0,0.18089137770138528,0.9999999999999998,1.0
27,2.0,0.18089137770138528,0.9999999999999998,0.90625
28,2.0,0.18089137770138528,0.9999999999999998,0.96875
29,2.0,0.18089137770138528,0.9999999999999998,0.96875
30,2.0,0.18089137770138528,0.9999999999999998,1.0
31,3.0,0.03456531740831037,0.9999999999999996,0.96875
32,3.0,0.03456531740831037,0.9999999999999996,0.9375
33,3.0,0.03456531740831037,0.9999999999999996,1.0
34,3.0,0.03311954728523772,0.9999999999999996,0.875
35,3.0,0.03456531740831037,0.9999999999999996,1.0
36,3.0,0.03456531740831037,0.9999999999999996,0.84375
37,3.0,0.03456531740831037,0.9999999999999996,1.0
38,3.0,0.03456531740831037,0.9999999999999996,1.0
39,3.0,0.03456531740831037,0.9999999999999996,0.96875
40,3.0,0.03456531740831037,0.9999999999999996,0.9375
41,3.0,0.03456531740831037,0.9999999999999996,0.96875
42,3.0,0.03456531740831037,0.9999999999999996,0.90625
43,3.0,0.03456531740831037,0.9999999999999996,0.96875
44,3.0,0.03456531740831037,0.9999999999999996,1.0
45,2.0,0.12751481217924646,0.9999999999999998,0.96875
46,3.0,0.03456531740831037,0.9999999999999996,0.9375
47,3.0,0.06606331257025537,0.9999999999999996,0.96875
48,4.0,0.013101484945571722,0.9834150858235718,0.96875
49,4.0,0.013101484945571722,0.9834150858235718,0.875
50,4.0,0.013101484945571722,0.9834150858235718,0.875
51,4.0,0.010156433040141114,0.9821741798537231,1.0
52,4.0,0.013101484945571722,0.9834150858235718,0.875
53,4.0,0.013101484945571722,0.9834150858235718,1.0
54,4.0,0.013101484945571722,0.9834150858235718,0.96875
55,4.0,0.013101484945571722,0.9834150858235718,0.96875
56,4.0,0.013101484945571722,0.9834150858235718,0.90625
57,4.0,0.013101484945571722,0.9834150858235718,0.96875
58,4.0,0.013101484945571722,0.9834150858235718,0.96875
59,4.0,0.012628870155078038,0.9834527585869156,0.96875
60,4.0,0.013101484945571722,0.9834150858235718,0.84375
61,4.0,0.013101484945571722,0.9834150858235718,1.0
62,4.0,0.013101484945571722,0.9834150858235718,0.96875
63,4.0,0.009882593435334788,0.9809677068494761,0.90625
64,5.0,0.004296627383772181,0.8525216302974646,0.9375
65,5.0,0.010224915033202074,0.8507796977893664,0.90625
66,5.0,0.004296627383772181,0.8525216302974646,0.9375
67,5.0,0.004296627383772181,0.8525216302974646,1.0
68,5.0,0.004296627383772181,0.8525216302974646,1.0
69,5.0,0.004296627383772181,0.8525216302974646,1.0
70,5.0,0.004296627383772181,0.8525216302974646,0.9375
71,5.0,0.004296627383772181,0.8525216302974646,0.96875
72,5.0,0.004296627383772181,0.8525216302974646,0.96875
73,5.0,0.004296627383772181,0.8525216302974646,0.96875
74,5.0,0.004296627383772181,0.8525216302974646,1.0
75,5.0,0.00934381781070494,0.8539627263790895,0.8125
76,5.0,0.004296627383772181,0.8525216302974646,1.0
77,5.0,0.004296627383772181,0.8525216302974646,1.0
78,5.0,0.004296627383772181,0.8525216302974646,0.9375
79,5.0,0.009416326434993363,0.8482496539322689,1.0
80,6.0,0.007697536277442719,0.8604307947894045,0.65625
81,6.0,0.005522989529150873,0.8607785349979042,1.0
82,6.0,0.007697536277442719,0.8604307947894045,0.8125
83,6.0,0.007697536277442719,0.8604307947894045,0.875
84,6.0,0.007697536277442719,0.8604307947894045,0.75
85,6.0,0.007697536277442719,0.8604307947894045,1.0
86,6.0,0.007697536277442719,0.8604307947894045,0.875
87,6.0,0.007697536277442719,0.8604307947894045,0.9375
88,6.0,0.008334380184170754,0.8639284411921784,0.875
89,6.0,0.007697536277442719,0.8604307947894045,1.0
90,6.0,0.007697536277442719,0.8604307947894045,0.96875
91,6.0,0.007697536277442719,0.8604307947894045,0.84375
92,6.0,0.007697536277442719,0.8604307947894045,0.96875
93,6.0,0.007697536277442719,0.8604307947894045,1.0
94,6.0,0.007697536277442719,0.8604307947894045,1.0
95,6.0,0.008549263369138757,0.8612638137512494,0.96875
96,7.0,0.008576275642728295,0.9034452407315152,0.84375
