,dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,0.0,1.0,1.0,10.0,0.41465986698055013,1.9030082235966384e-32,148.0,0.16847991943359375,0.96875
1,0.0,1.0,1.0,10.0,0.2866132918109784,1.9711631841136265e-32,103.0,0.11526870727539062,0.96875
2,0.0,1.0,1.0,10.0,0.4058996782598424,1.9316636084094483e-32,74.0,0.10812759399414062,0.96875
3,0.0,1.0,1.0,10.0,0.3354987483155337,1.8768583668238694e-32,57.0,0.1588134765625,0.84375
4,0.0,1.0,1.0,10.0,0.3867919426252149,1.9275392956693785e-32,137.0,0.10376358032226562,0.96875
5,0.0,1.0,1.0,10.0,0.3803901478892669,1.9073332423881147e-32,95.0,0.166473388671875,0.96875
6,0.0,1.0,1.0,10.0,0.3221312157798719,1.9362302006637578e-32,63.0,0.1537322998046875,0.96875
7,0.0,1.0,1.0,10.0,0.33871652577883615,1.8696525474319524e-32,76.0,0.13214874267578125,0.875
8,0.0,1.0,2.0,20.0,0.2601598998568069,6.432493463045178e-32,64.0,0.12170028686523438,0.96875
9,0.0,1.0,2.0,20.0,0.3277013369700723,6.20966220137935e-32,38.0,0.12415695190429688,0.90625
10,0.0,1.0,2.0,20.0,0.29810468951003344,6.325208349650686e-32,65.0,0.1591796875,0.96875
11,0.0,1.0,2.0,20.0,0.2624333730655492,6.198297947250715e-32,80.0,0.15189743041992188,0.96875
12,0.0,1.0,2.0,20.0,0.25494035179770247,6.246633529355256e-32,81.0,0.1617584228515625,0.96875
13,0.0,1.0,2.0,20.0,0.25745119561127855,6.18792873591503e-32,65.0,0.10692596435546875,0.9375
14,0.0,1.0,2.0,20.0,0.299428106656053,6.498073620771068e-32,135.0,0.11046981811523438,0.9375
15,0.0,1.0,2.0,20.0,0.31980388328251846,6.299575394013548e-32,83.0,0.15702438354492188,0.96875
16,0.0,1.0,3.0,30.0,0.24455743307731528,1.1328386670240626e-31,108.0,0.11719512939453125,0.96875
17,0.0,1.0,3.0,30.0,0.3110814092065477,1.1113176044354134e-31,70.0,0.13757705688476562,0.96875
18,0.0,1.0,3.0,30.0,0.24547270687134776,1.1218918465574233e-31,69.0,0.12027740478515625,0.875
19,0.0,1.0,3.0,30.0,0.21147046241479675,1.1119109968819404e-31,62.0,0.15320587158203125,0.96875
20,0.0,1.0,3.0,30.0,0.25261687568449465,1.1195214335121734e-31,75.0,0.12081527709960938,0.9375
21,0.0,1.0,3.0,30.0,0.2688027571855141,1.1110897190416997e-31,67.0,0.1432952880859375,0.9375
22,0.0,1.0,3.0,30.0,0.293881527816556,1.1390295639991878e-31,65.0,0.10932159423828125,0.96875
23,0.0,1.0,3.0,30.0,0.24510089141864863,1.118067748174201e-31,84.0,0.12821197509765625,0.9375
24,0.0,1.0,4.0,40.0,0.2764531546777902,1.6155070363372654e-31,94.0,0.14760589599609375,0.9375
25,0.0,1.0,4.0,40.0,0.27941888165539064,1.6294425746115604e-31,52.0,0.1334686279296875,0.875
26,0.0,1.0,4.0,40.0,0.24890093943341826,1.6115198537002946e-31,75.0,0.12176513671875,0.9375
27,0.0,1.0,4.0,40.0,0.3151004697504458,1.6224997793773943e-31,50.0,0.1248626708984375,0.875
