,dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,0.0,1.0,1.0,12.0,0.21363619231531272,2.655000556418838e-32,99.0,0.19489288330078125,0.84375
1,0.0,1.0,1.0,12.0,0.2597524218763385,2.6132692716312796e-32,61.0,0.14612197875976562,0.90625
2,0.0,1.0,1.0,12.0,0.3899105921181464,2.5913916730394374e-32,46.0,0.188079833984375,0.921875
3,0.0,1.0,1.0,12.0,0.2751822351103254,2.559059304852644e-32,59.0,0.1617584228515625,0.921875
4,0.0,1.0,1.0,12.0,0.28885789842152776,2.642359863654489e-32,64.0,0.15596389770507812,0.890625
5,0.0,1.0,1.0,12.0,0.34307836308555734,2.550214386737683e-32,42.0,0.16691207885742188,0.953125
6,0.0,1.0,1.0,12.0,0.36378732026734323,2.554266682547082e-32,99.0,0.16656494140625,0.921875
7,0.0,1.0,1.0,12.0,0.3525349436443057,2.6595761758063285e-32,63.0,0.13662338256835938,0.890625
8,0.0,1.0,2.0,24.0,0.2917193848924076,8.170232902280956e-32,153.0,0.13658905029296875,0.859375
9,0.0,1.0,2.0,24.0,0.2094267494564984,8.196007633449443e-32,89.0,0.18769454956054688,0.921875
10,0.0,1.0,2.0,24.0,0.2752745745822355,8.332762371173826e-32,60.0,0.14698028564453125,0.953125
11,0.0,1.0,2.0,24.0,0.20822283371614,8.136797317677051e-32,51.0,0.16203689575195312,0.921875
12,0.0,1.0,2.0,24.0,0.22882547685189264,8.308999879345942e-32,57.0,0.13544845581054688,0.9375
13,0.0,1.0,2.0,24.0,0.22340839980911825,8.218257824569318e-32,53.0,0.140472412109375,0.90625
14,0.0,1.0,2.0,24.0,0.2824266552296262,8.237689781278965e-32,149.0,0.16361618041992188,0.9375
15,0.0,1.0,2.0,24.0,0.18584334374140582,8.161793915539684e-32,67.0,0.14659881591796875,0.921875
16,0.0,1.0,3.0,36.0,0.2172404094680628,1.4616909139197704e-31,61.0,0.14863967895507812,0.90625
17,0.0,1.0,3.0,36.0,0.21400128645422645,1.4464271455203246e-31,122.0,0.1289215087890625,0.9375
18,0.0,1.0,3.0,36.0,0.2838332351977132,1.468752168584391e-31,87.0,0.146209716796875,0.953125
19,0.0,1.0,3.0,36.0,0.21497971352494383,1.4420309532397154e-31,47.0,0.14385986328125,0.9375
20,0.0,1.0,3.0,36.0,0.1860646990347935,1.4479203570420956e-31,92.0,0.13430023193359375,0.90625
21,0.0,1.0,3.0,36.0,0.23614512386681658,1.4615975782007488e-31,79.0,0.15521240234375,0.890625
22,0.0,1.0,3.0,36.0,0.15334160521320372,1.445776584669133e-31,117.0,0.15860748291015625,0.90625
23,0.0,1.0,3.0,36.0,0.2798868651303624,1.45157744096456e-31,102.0,0.258544921875,0.859375
24,0.0,1.0,4.0,48.0,0.2622912407339849,2.107533779136047e-31,92.0,0.14551925659179688,0.90625
25,0.0,1.0,4.0,48.0,0.32010510501398864,2.1375572162287474e-31,152.0,0.13318634033203125,0.859375
26,0.0,1.0,4.0,48.0,0.25700495954291513,2.1163776822902027e-31,99.0,0.15067672729492188,0.9375
27,0.0,1.0,4.0,48.0,0.2457961558358234,2.09606095541057e-31,93.0,0.13804244995117188,0.859375
28,0.0,1.0,4.0,48.0,0.27111232020850123,2.1356646805845344e-31,72.0,0.17245101928710938,0.921875
29,0.0,1.0,4.0,48.0,0.26752593620963117,2.090863773114112e-31,104.0,0.17650985717773438,0.890625
30,0.0,1.0,4.0,48.0,0.2271132577962632,2.1126733172177223e-31,55.0,0.140533447265625,0.953125
31,0.0,1.0,4.0,48.0,0.1792003175467491,2.117523473906429e-31,107.0,0.13945770263671875,0.921875
32,0.0,1.0,5.0,60.0,0.3244077904094974,2.769759885226571e-31,55.0,0.15348434448242188,0.890625
33,0.0,1.0,5.0,60.0,0.28128131609500423,2.785171510725855e-31,120.0,0.13898849487304688,0.953125
34,0.0,1.0,5.0,60.0,0.2693934345290053,2.765056264772764e-31,57.0,0.14942169189453125,0.96875
35,0.0,1.0,5.0,60.0,0.2806915665858767,2.8151718336476773e-31,43.0,0.14786911010742188,0.9375
