dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
0,1,1,14,0.3691929800958207,3.2569515043314336e-32,1024,0.01005112224426885,0.98
0,1,3,42,0.23377040522423848,1.7880975932258174e-31,1024,0.01001206450901792,0.98
0,1,5,70,0.15125194268433578,3.401039259485717e-31,1024,0.01001206497244673,0.98
0,1,7,98,0.2336025404460175,5.014885944727794e-31,1024,0.010012066375717263,0.98
0,1,9,126,0.235393191712907,6.662099214400635e-31,1024,0.010012066297803612,0.98
0,1,11,154,0.14843534249970908,8.271222301309387e-31,1024,0.010012068956184613,0.98
0,1,13,182,0.15414969915141924,9.887063212307668e-31,1024,0.01001207258815771,0.98
0,1,15,210,0.16158475045476384,1.1412570290512625e-30,1024,0.01001207328096309,0.98
0,2,1,14,0.22442679286868106,0.7512077741445301,1024,0.01029673354054603,0.98
0,2,3,42,0.012182254379712282,0.9001601541143079,1024,0.010157555084927845,0.98
0,2,5,70,0.0018402289630519055,0.949753509000678,1024,0.010333176547877495,0.98
0,2,7,98,0.0027073469740073047,0.9691021855231714,1024,0.010634386956435904,0.98
0,2,9,126,0.0025989538170724073,0.9742953801161227,1024,0.010065396612594358,1.0
0,2,11,154,0.006594062839721696,0.9757146650217314,1024,0.010314151890238021,1.0
0,2,13,182,0.002033711156259835,0.9768328102928066,1024,0.010388791841281391,0.98
0,2,15,210,0.0015495942016969012,0.976714080368521,1024,0.010699589720255979,0.98
0,3,1,20,0.21021115050113154,0.19335812717023948,1024,0.012001261173213467,0.98
0,3,3,60,0.09046972584237972,0.4946953589324246,1024,0.010032762927575257,0.98
0,3,5,100,0.026295175618168118,0.6333054912017707,1024,0.010258158392682355,0.98
0,3,7,140,0.022299149179956675,0.7155005278724486,1024,0.010002993205822826,0.98
0,3,9,180,0.014710553337002389,0.7680711377035293,1024,0.010911364250533972,1.0
0,3,11,220,0.011965834506616995,0.8108998139714837,1024,0.010506140681579776,0.98
0,3,13,260,0.010152358644938434,0.8392082964975741,1024,0.010490673309856823,1.0
0,3,15,300,0.006281459481415477,0.8650225883392946,1024,0.010541171025550453,1.0
0,4,1,20,0.16319986722412744,0.3693553384455856,1024,0.012471352145060002,0.96
0,4,3,60,0.0321941237736581,0.6419850798379654,1024,0.010456982501883767,0.98
0,4,5,100,0.022962294102309697,0.7630438656923498,1024,0.010378543400003088,0.98
0,4,7,140,0.006760507990127616,0.8255110451274359,1024,0.010531657461711318,1.0
0,4,9,180,0.0029773544683093104,0.8717091752611866,1024,0.010640654247968671,0.98
0,4,11,220,0.0027960345499394006,0.9001236666069422,1024,0.010485442511671864,0.98
0,4,13,260,0.0004801847610200463,0.9221441825781608,1024,0.010737256663338765,0.98
0,4,15,300,0.002422683186043345,0.9370233383980144,1024,0.01080804273401266,1.0
0,5,1,70,0.07164076014932064,0.4046828370429468,1024,0.010827270008238372,0.98
0,5,3,210,0.0015253494398818827,0.880355948039906,1024,0.010930980673722468,0.98
0,5,5,350,0.003551128028127716,0.9610517665199828,1024,0.010583385587809102,0.98
0,5,7,490,0.0022254574088795233,0.9738153603263877,1024,0.010921799986535252,0.98
0,5,9,630,0.001956630458161742,0.9762401327541336,1024,0.011422418049232061,0.98
0,5,11,770,0.0015855123421840921,0.9764884216840385,1024,0.011345084076474134,1.0
0,5,13,910,0.0017262710727547863,0.9766908576006453,1024,0.011450889963778223,0.98
0,5,15,1050,0.0022425687270254497,0.9765830366631855,1024,0.011459186480304938,0.98
0,6,1,70,0.0006553968610431258,0.9059881016740154,1024,0.011276525525588558,1.0
0,6,3,210,0.006634012520607109,0.9766424108673359,1024,0.010413787111799392,1.0
0,6,5,350,0.0017425566083481615,0.9771050121895986,1024,0.010505447284347144,1.0
0,6,7,490,0.0036672979664006543,0.9763723196618124,1024,0.01099144511034582,0.98
0,6,9,630,0.0025598715410452243,0.976809118765532,1024,0.010597595434102741,0.98
0,6,11,770,0.004430568758698709,0.9766797794184896,1024,0.011295748785797324,1.0
0,6,13,910,0.0031838113971344624,0.9767165148948339,1024,0.011746893217618692,1.0
0,6,15,1050,0.002026326556292108,0.9763885921822758,1024,0.011625098736262588,0.98
0,7,1,34,0.1297993135622858,0.26012293400237646,1024,0.01002505665426013,0.98
0,7,3,102,0.04534922040513631,0.574172307935168,1024,0.01015119656725243,0.98
0,7,5,170,0.021133225157112325,0.7021615525085203,1024,0.010208299458175939,0.98
0,7,7,238,0.0289108171255547,0.7834050766194665,1024,0.010260136303308498,0.98
0,7,9,306,0.0022809713779448,0.8290341580398087,1024,0.010533146231395004,1.0
0,7,11,374,0.00414070591079062,0.8666428036529564,1024,0.010659368965091795,0.98
0,7,13,442,0.0011284993833472763,0.8926435578627021,1024,0.010976349673798468,0.98
0,7,15,510,0.001065589505978267,0.9095847242133132,1024,0.01088393271044068,1.0
0,8,1,34,0.12766105454107823,0.3382064974590687,1024,0.011969455769374976,0.98
0,8,3,102,0.02841545835882466,0.6455269691810402,1024,0.010087789777740813,0.98
0,8,5,170,0.006437072119045652,0.7674122374307492,1024,0.01045544127922914,0.98
0,8,7,238,0.006569052966987162,0.8332786708621485,1024,0.01091986421824609,1.0
0,8,9,306,0.00422018443428055,0.8740536078490049,1024,0.010731573007399606,0.98
0,8,11,374,0.003941897037060016,0.9045214715985068,1024,0.011041049594051151,1.0
0,8,13,442,0.0007639153545071452,0.9245723657222286,1024,0.010931452722551926,1.0
0,8,15,510,0.0035124480199986863,0.9390695866428267,1024,0.01125961649056665,1.0
