,circuit_id,layer,num_params,accuracy,entcap,expr,last_cost_avg,num_iter
0,1.0,1.0,10.0,0.91796875,1.9769029083735423e-32,0.3744536403312595,0.14069700241088862,52.75
1,1.0,2.0,20.0,0.92578125,6.315434868509244e-32,0.2857519498240733,0.12683200836181638,69.75
2,1.0,3.0,30.0,0.96484375,1.1102892904244047e-31,0.294256056559775,0.14189386367797846,57.25
3,1.0,4.0,40.0,0.98046875,1.612742467856459e-31,0.2171249172530371,0.15470790863037104,86.25
4,1.0,5.0,50.0,0.93359375,2.152345632173983e-31,0.2691636483979625,0.13454008102416987,68.5
5,1.0,6.0,60.0,0.890625,2.661858416339808e-31,0.258783033818458,0.12213516235351557,67.0
6,1.0,7.0,70.0,0.9296875,3.168136101838101e-31,0.2738110240719117,0.13085603713989255,74.875
7,1.0,8.0,80.0,0.88671875,3.6468164076434023e-31,0.264191023343577,0.13531351089477534,61.5
8,2.0,1.0,10.0,0.91015625,0.6788541580036286,0.3269993724762424,0.14506435394287104,49.25
9,2.0,2.0,20.0,0.90234375,0.7557383226881357,0.039799723135965,0.10074615478515621,74.125
10,2.0,3.0,30.0,0.875,0.8446756883853743,0.0186030628595864,0.1066031455993652,64.5
11,2.0,4.0,40.0,0.81640625,0.8727159194627875,0.0062775386820959,0.1006526947021484,68.5
12,2.0,5.0,50.0,0.76953125,0.8889922882738402,0.0053492994415969,0.10652780532836909,56.25
13,2.0,6.0,60.0,0.765625,0.902070386596494,0.011817168970837,0.10498285293579099,80.0
14,2.0,7.0,70.0,0.7734375,0.9064753467799244,0.0049777821898239,0.10730743408203121,80.625
15,2.0,8.0,80.0,0.640625,0.9064217494451664,0.0071132201792401,0.10570478439331049,80.125
16,3.0,1.0,14.0,0.92578125,0.1749106314285359,0.3481817865311513,0.1591405868530273,53.625
17,3.0,2.0,28.0,0.9296875,0.3533987568267748,0.09879219276984938,0.1416864395141601,55.0
18,3.0,3.0,42.0,0.88671875,0.47694597242358594,0.113814116083084,0.11223268508911127,70.25
19,3.0,4.0,56.0,0.90625,0.5457541806351951,0.04853884013001671,0.10704421997070308,67.375
20,3.0,5.0,70.0,0.8828125,0.5973967603960525,0.04812464506398969,0.10630989074707027,77.0
21,3.0,6.0,84.0,0.796875,0.6404630802281863,0.020716884450514974,0.11651849746704097,66.0
22,3.0,7.0,98.0,0.7890625,0.6811039449108045,0.020109192022890323,0.1100201606750488,67.125
23,3.0,8.0,112.0,0.87109375,0.7067547480477187,0.020462214044720387,0.10845565795898435,62.125
24,4.0,1.0,14.0,0.94921875,0.3410098241057162,0.19159959973162186,0.15826129913330073,70.25
25,4.0,2.0,28.0,0.9453125,0.4999972484214479,0.05644603766629253,0.11054897308349605,62.25
26,4.0,3.0,42.0,0.8671875,0.5998479321439661,0.034294952769795564,0.10430955886840816,67.5
27,4.0,4.0,56.0,0.87109375,0.6663951555606623,0.021212820037781736,0.11313295364379879,58.25
28,4.0,5.0,70.0,0.703125,0.7127848910104416,0.0139195023183927,0.10488700866699216,66.75
29,4.0,6.0,84.0,0.765625,0.7526005163057199,0.012700245202329912,0.10093450546264646,72.125
30,4.0,7.0,98.0,0.71484375,0.7797176941786996,0.01216715607035075,0.11647891998291011,65.875
31,4.0,8.0,112.0,0.625,0.8039174077782277,0.008791057738641262,0.11221075057983394,63.25
